H_A_m,B_T,mu_r
0.0,0.0000,5000
5.3,0.0205,3104
10.5,0.0411,3104
15.8,0.0616,3103
21.1,0.0821,3103
26.3,0.1026,3102
31.6,0.1230,3100
36.8,0.1435,3099
42.1,0.1639,3097
47.4,0.1842,3095
52.6,0.2046,3093
57.9,0.2249,3091
63.2,0.2451,3088
68.4,0.2653,3085
73.7,0.2854,3082
78.9,0.3055,3079
84.2,0.3255,3076
89.5,0.3454,3072
94.7,0.3652,3068
100.0,0.3850,3064
100.0,0.3850,3064
147.4,0.5588,3018
194.7,0.7235,2957
242.1,0.8770,2883
289.5,1.0181,2799
336.8,1.1458,2707
384.2,1.2602,2610
431.6,1.3614,2510
478.9,1.4501,2409
526.3,1.5272,2309
573.7,1.5936,2211
621.1,1.6506,2115
668.4,1.6991,2023
715.8,1.7403,1935
763.2,1.7751,1851
810.5,1.8043,1771
857.9,1.8289,1696
905.3,1.8495,1626
952.6,1.8667,1559
1000.0,1.8811,1497
1000.0,1.8811,1497
1473.7,1.9411,1048
1947.4,1.9508,797
2421.1,1.9528,642
2894.7,1.9536,537
3368.4,1.9542,462
3842.1,1.9548,405
4315.8,1.9554,361
4789.5,1.9560,325
5263.2,1.9566,296
5736.8,1.9572,271
6210.5,1.9578,251
6684.2,1.9584,233
7157.9,1.9590,218
7631.6,1.9596,204
8105.3,1.9602,192
8578.9,1.9608,182
9052.6,1.9614,172
9526.3,1.9620,164
10000.0,1.9626,156
10000.0,1.9626,156
14736.8,1.9685,106
19473.7,1.9745,81
24210.5,1.9804,65
28947.4,1.9864,55
33684.2,1.9923,47
38421.1,1.9983,41
43157.9,2.0042,37
47894.7,2.0102,33
52631.6,2.0161,30
57368.4,2.0221,28
62105.3,2.0280,26
66842.1,2.0340,24
71578.9,2.0399,23
76315.8,2.0459,21
81052.6,2.0500,20
85789.5,2.0500,19
90526.3,2.0500,18
95263.2,2.0500,17
100000.0,2.0500,16
