voltage_V,current_A
-1.0000,-2.200000e-08
-0.9920,-2.200000e-08
-0.9839,-2.200000e-08
-0.9759,-2.200000e-08
-0.9678,-2.200000e-08
-0.9598,-2.200000e-08
-0.9518,-2.200000e-08
-0.9437,-2.200000e-08
-0.9357,-2.200000e-08
-0.9276,-2.200000e-08
-0.9196,-2.200000e-08
-0.9116,-2.200000e-08
-0.9035,-2.200000e-08
-0.8955,-2.200000e-08
-0.8874,-2.200000e-08
-0.8794,-2.200000e-08
-0.8714,-2.200000e-08
-0.8633,-2.200000e-08
-0.8553,-2.200000e-08
-0.8472,-2.200000e-08
-0.8392,-2.200000e-08
-0.8312,-2.200000e-08
-0.8231,-2.200000e-08
-0.8151,-2.200000e-08
-0.8070,-2.200000e-08
-0.7990,-2.200000e-08
-0.7910,-2.200000e-08
-0.7829,-2.200000e-08
-0.7749,-2.200000e-08
-0.7668,-2.200000e-08
-0.7588,-2.200000e-08
-0.7508,-2.200000e-08
-0.7427,-2.200000e-08
-0.7347,-2.200000e-08
-0.7266,-2.200000e-08
-0.7186,-2.200000e-08
-0.7106,-2.200000e-08
-0.7025,-2.200000e-08
-0.6945,-2.200000e-08
-0.6864,-2.200000e-08
-0.6784,-2.200000e-08
-0.6704,-2.200000e-08
-0.6623,-2.200000e-08
-0.6543,-2.200000e-08
-0.6462,-2.200000e-08
-0.6382,-2.200000e-08
-0.6302,-2.200000e-08
-0.6221,-2.200000e-08
-0.6141,-2.200000e-08
-0.6060,-2.200000e-08
-0.5980,-2.200000e-08
-0.5899,-2.200000e-08
-0.5819,-2.200000e-08
-0.5739,-2.200000e-08
-0.5658,-2.200000e-08
-0.5578,-2.200000e-08
-0.5497,-2.200000e-08
-0.5417,-2.200000e-08
-0.5337,-2.200000e-08
-0.5256,-2.200000e-08
-0.5176,-2.200000e-08
-0.5095,-2.200000e-08
-0.5015,-2.200000e-08
-0.4935,-2.200000e-08
-0.4854,-2.200000e-08
-0.4774,-2.200000e-08
-0.4693,-2.200000e-08
-0.4613,-2.200000e-08
-0.4533,-2.200000e-08
-0.4452,-2.200000e-08
