time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,97.69,9406.9,-303600
5.0,2.92,100.64,2398.4,-303205
10.1,5.84,103.59,2132.6,-302027
15.1,8.73,106.54,1904.7,-300084
20.1,11.59,109.50,1711.4,-297408
25.1,14.42,112.45,1548.6,-294041
30.2,17.19,115.40,1411.9,-290036
35.2,19.91,118.35,1297.1,-285456
40.2,22.56,121.31,1200.7,-280371
45.3,25.13,124.26,1119.4,-274859
50.3,27.62,127.21,1050.7,-269001
55.3,30.02,130.17,992.4,-262884
60.4,32.31,133.12,942.9,-256596
65.4,34.49,136.07,900.7,-250225
70.4,36.56,139.02,864.7,-243859
75.4,38.50,141.98,833.9,-237585
80.5,40.32,144.93,807.6,-231485
85.5,41.99,147.88,785.2,-225637
90.5,43.53,150.84,766.2,-220114
95.6,44.92,153.79,750.0,-214986
100.6,46.15,156.74,736.5,-210313
105.6,47.23,159.69,725.3,-206151
110.6,48.15,162.65,716.2,-202547
115.7,48.91,165.60,708.9,-199543
120.7,49.50,168.55,703.4,-197171
125.7,49.92,171.50,699.6,-195458
130.8,50.18,174.46,697.3,-194423
135.8,50.26,177.41,696.6,0
140.8,50.18,180.36,697.3,194423
145.9,49.92,183.32,699.6,195458
150.9,49.50,186.27,703.4,197171
155.9,48.91,189.22,708.9,199543
160.9,48.15,192.17,716.2,202547
166.0,47.23,195.13,725.3,206151
171.0,46.15,198.08,736.5,210313
176.0,44.92,201.03,750.0,214986
181.1,43.53,203.98,766.2,220114
186.1,41.99,206.94,785.2,225637
191.1,40.32,209.89,807.6,231485
196.1,38.50,212.84,833.9,237585
201.2,36.56,215.80,864.7,243859
206.2,34.49,218.75,900.7,250225
211.2,32.31,221.70,942.9,256596
216.3,30.02,224.65,992.4,262884
221.3,27.62,227.61,1050.7,269001
226.3,25.13,230.56,1119.4,274859
231.3,22.56,233.51,1200.7,280371
236.4,19.91,236.46,1297.1,285456
241.4,17.19,239.42,1411.9,290036
246.4,14.42,242.37,1548.6,294041
251.5,11.59,245.32,1711.4,297408
256.5,8.73,248.28,1904.7,300084
261.5,5.84,251.23,2132.6,302027
266.6,2.92,254.18,2398.4,303205
271.6,0.00,257.13,2703.8,303600
