time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,76.44,9406.9,-303600
5.0,2.80,77.37,2410.0,-303236
10.0,5.61,78.29,2152.2,-302148
15.1,8.40,79.21,1928.9,-300344
20.1,11.18,80.14,1737.2,-297836
25.1,13.95,81.06,1573.6,-294643
30.1,16.70,81.98,1434.4,-290789
35.1,19.43,82.91,1315.9,-286302
40.1,22.14,83.83,1215.0,-281213
45.2,24.82,84.75,1128.7,-275559
50.2,27.47,85.68,1054.7,-269379
55.2,30.08,86.60,991.0,-262715
60.2,32.65,87.52,935.9,-255614
65.2,35.19,88.45,888.2,-248122
70.3,37.68,89.37,846.6,-240288
75.3,40.12,90.29,810.4,-232162
80.3,42.51,91.22,778.6,-223796
85.3,44.85,92.14,750.8,-215239
90.3,47.13,93.06,726.3,-206542
95.4,49.35,93.99,704.8,-197757
100.4,51.52,94.91,685.8,-188931
105.4,53.61,95.83,669.1,-180113
110.4,55.64,96.76,654.3,-171349
115.4,57.60,97.68,641.3,-162683
120.4,59.48,98.61,629.8,-154158
125.5,61.30,99.53,619.8,-145813
130.5,63.03,100.45,610.9,-137687
135.5,64.69,101.38,603.1,-129814
140.5,66.26,102.30,596.3,-122228
145.5,67.75,103.22,590.3,-114958
150.6,69.16,104.15,585.2,-108032
155.6,70.47,105.07,580.7,-101475
160.6,71.70,105.99,576.8,-95311
165.6,72.84,106.92,573.5,-89559
170.6,73.89,107.84,570.6,-84238
175.7,74.85,108.76,568.2,-79363
180.7,75.71,109.69,566.1,-74951
185.7,76.47,110.61,564.4,-71011
190.7,77.14,111.53,563.0,-67556
195.7,77.72,112.46,561.8,-64594
200.7,78.19,113.38,560.9,-62132
205.8,78.57,114.30,560.2,-60176
210.8,78.85,115.23,559.7,-58731
215.8,79.02,116.15,559.4,-57801
220.8,79.10,117.07,559.3,-57387
225.8,79.08,118.00,559.3,57491
230.9,78.97,118.92,559.5,58111
235.9,78.75,119.84,559.9,59248
240.9,78.43,120.77,560.5,60897
245.9,78.01,121.69,561.3,63056
250.9,77.50,122.62,562.3,65719
256.0,76.89,123.54,563.5,68879
261.0,76.18,124.46,565.0,72529
266.0,75.37,125.39,566.9,76660
271.0,74.48,126.31,569.1,81259
276.0,73.48,127.23,571.7,86313
281.0,72.40,128.16,574.7,91809
286.1,71.22,129.08,578.3,97728
291.1,69.96,130.00,582.4,104052
296.1,68.60,130.93,587.2,110759
301.1,67.16,131.85,592.6,117826
306.1,65.64,132.77,598.9,125226
311.2,64.03,133.70,606.1,132931
316.2,62.35,134.62,614.3,140909
321.2,60.58,135.54,623.6,149127
326.2,58.74,136.47,634.3,157549
331.2,56.82,137.39,646.3,166135
336.2,54.84,138.31,660.0,174845
341.3,52.78,139.24,675.5,183636
346.3,50.66,140.16,693.1,192463
351.3,48.47,141.08,713.1,201278
356.3,46.23,142.01,735.7,210034
361.3,43.92,142.93,761.5,218681
366.4,41.56,143.86,790.8,227168
371.4,39.15,144.78,824.3,235444
376.4,36.69,145.70,862.6,243460
381.4,34.18,146.63,906.5,251163
386.4,31.63,147.55,957.0,258504
391.5,29.04,148.47,1015.3,265436
396.5,26.41,149.40,1082.9,271911
401.5,23.75,150.32,1161.6,277886
406.5,21.06,151.24,1253.4,283318
411.5,18.34,152.17,1361.0,288171
416.5,15.61,153.09,1487.4,292409
421.6,12.85,154.01,1635.9,296001
426.6,10.07,154.94,1810.3,298922
431.6,7.28,155.86,2014.2,301151
436.6,4.49,156.78,2251.1,302670
441.6,1.68,157.71,2523.2,303469
