time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,256.77,9406.9,-303600
5.0,3.12,261.35,2379.7,-303151
10.1,6.20,265.94,2101.7,-301823
15.1,9.23,270.52,1868.3,-299666
20.2,12.18,275.11,1675.3,-296765
25.2,15.02,279.69,1517.1,-293231
30.3,17.72,284.28,1388.2,-289198
35.3,20.26,288.86,1283.5,-284818
40.4,22.62,293.45,1198.7,-280253
45.4,24.77,298.03,1130.2,-275671
50.5,26.70,302.61,1075.1,-271236
55.5,28.38,307.20,1031.3,-267105
60.6,29.81,311.78,997.1,-263422
65.6,30.97,316.37,971.1,-260315
70.7,31.85,320.95,952.4,-257888
75.7,32.44,325.54,940.2,-256224
80.8,32.74,330.12,934.3,-255378
85.8,32.74,334.71,934.3,255378
90.9,32.44,339.29,940.2,256224
95.9,31.85,343.88,952.4,257888
101.0,30.97,348.46,971.1,260315
106.0,29.81,353.05,997.1,263422
111.1,28.38,357.63,1031.3,267105
116.1,26.70,2.22,1075.1,271236
121.2,24.77,6.80,1130.2,275671
126.2,22.62,11.38,1198.7,280253
131.3,20.26,15.97,1283.5,284818
136.3,17.72,20.55,1388.2,289198
141.4,15.02,25.14,1517.1,293231
146.4,12.18,29.72,1675.3,296765
151.5,9.23,34.31,1868.3,299666
156.5,6.20,38.89,2101.7,301823
161.6,3.12,43.48,2379.7,303151
166.6,0.00,48.06,2703.8,303600
