time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,112.22,9406.9,-303600
5.0,2.84,113.84,2407.0,-303228
10.0,5.67,115.46,2147.1,-302117
15.1,8.49,117.09,1922.5,-300276
20.1,11.29,118.71,1730.3,-297724
25.1,14.08,120.33,1566.8,-294482
30.1,16.84,121.96,1428.1,-290583
35.1,19.57,123.58,1310.4,-286060
40.1,22.27,125.20,1210.5,-280955
45.2,24.93,126.83,1125.4,-275313
50.2,27.55,128.45,1052.6,-269184
55.2,30.11,130.07,990.2,-262621
60.2,32.63,131.70,936.4,-255680
65.2,35.09,133.32,889.9,-248419
70.3,37.49,134.94,849.6,-240896
75.3,39.82,136.57,814.6,-233172
80.3,42.09,138.19,784.0,-225307
85.3,44.28,139.81,757.3,-217360
90.3,46.39,141.44,734.0,-209391
95.3,48.43,143.06,713.5,-201456
100.4,50.38,144.68,695.6,-193610
105.4,52.24,146.31,679.8,-185906
110.4,54.01,147.93,666.0,-178395
115.4,55.69,149.56,654.0,-171124
120.4,57.27,151.18,643.4,-164137
125.5,58.76,152.80,634.2,-157476
130.5,60.14,154.43,626.1,-151179
135.5,61.41,156.05,619.1,-145279
140.5,62.58,157.67,613.1,-139809
145.5,63.64,159.30,607.9,-134797
150.6,64.59,160.92,603.5,-130268
155.6,65.43,162.54,599.8,-126243
160.6,66.15,164.17,596.7,-122742
165.6,66.76,165.79,594.2,-119781
170.6,67.26,167.41,592.3,-117373
175.6,67.63,169.04,590.8,-115528
180.7,67.89,170.66,589.8,-114255
185.7,68.04,172.28,589.3,-113559
190.7,68.06,173.91,589.2,113442
195.7,67.96,175.53,589.5,113907
200.7,67.75,177.15,590.3,114950
205.8,67.42,178.78,591.6,116567
210.8,66.97,180.40,593.4,118750
215.8,66.41,182.02,595.7,121492
220.8,65.73,183.65,598.5,124779
225.8,64.94,185.27,602.0,128596
230.8,64.03,186.89,606.1,132926
235.9,63.02,188.52,611.0,137748
240.9,61.89,190.14,616.6,143038
245.9,60.66,191.77,623.2,148769
250.9,59.32,193.39,630.8,154912
255.9,57.88,195.01,639.5,161432
261.0,56.34,196.64,649.6,168293
266.0,54.70,198.26,661.0,175455
271.0,52.96,199.88,674.1,182876
276.0,51.13,201.51,689.0,190508
281.0,49.22,203.13,706.0,198304
286.0,47.22,204.75,725.5,206210
291.1,45.13,206.38,747.6,214172
296.1,42.97,208.00,772.9,222135
301.1,40.74,209.62,801.8,230040
306.1,38.43,211.25,835.0,237827
311.1,36.06,212.87,873.1,245438
316.2,33.62,214.49,917.0,252811
321.2,31.13,216.12,967.7,259887
326.2,28.58,217.74,1026.5,266608
331.2,25.98,219.36,1094.9,272917
336.2,23.34,220.99,1174.8,278760
341.2,20.65,222.61,1268.5,284085
346.3,17.94,224.23,1378.7,288846
351.3,15.19,225.86,1508.5,293000
356.3,12.41,227.48,1661.6,296508
361.3,9.61,229.10,1841.9,299340
366.3,6.79,230.73,2053.1,301468
371.4,3.97,232.35,2298.6,302872
376.4,1.13,233.97,2580.6,303541
