time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,150.27,9406.9,-303600
5.0,2.87,151.63,2403.2,-303218
10.0,5.74,152.99,2140.7,-302078
15.1,8.59,154.36,1914.6,-300192
20.1,11.42,155.72,1721.9,-297585
25.1,14.23,157.08,1558.6,-294287
30.1,17.00,158.44,1420.8,-290338
35.1,19.72,159.81,1304.3,-285786
40.1,22.40,161.17,1205.9,-280683
45.2,25.03,162.53,1122.4,-275090
50.2,27.59,163.89,1051.4,-269069
55.2,30.09,165.26,990.7,-262688
60.2,32.51,166.62,938.8,-256018
65.2,34.86,167.98,894.1,-249131
70.3,37.11,169.34,855.6,-242099
75.3,39.28,170.70,822.3,-234995
80.3,41.36,172.07,793.5,-227890
85.3,43.33,173.43,768.6,-220854
90.3,45.19,174.79,747.0,-213955
95.4,46.95,176.15,728.2,-207256
100.4,48.59,177.52,712.0,-200818
105.4,50.11,178.88,697.9,-194697
110.4,51.51,180.24,685.8,-188947
115.4,52.79,181.60,675.5,-183614
120.4,53.93,182.97,666.6,-178743
125.5,54.95,184.33,659.2,-174371
130.5,55.83,185.69,653.0,-170533
135.5,56.57,187.05,648.0,-167257
140.5,57.18,188.42,644.0,-164568
145.5,57.64,189.78,641.0,-162485
150.6,57.97,191.14,639.0,-161024
155.6,58.15,192.50,637.8,-160195
160.6,58.20,193.87,637.6,160003
165.6,58.10,195.23,638.2,160450
170.6,57.86,196.59,639.7,161533
175.7,57.47,197.95,642.1,163245
180.7,56.95,199.32,645.5,165572
185.7,56.29,200.68,649.9,168498
190.7,55.49,202.04,655.4,172002
195.7,54.56,203.40,662.0,176058
200.7,53.49,204.77,670.0,180634
205.8,52.29,206.13,679.4,185694
210.8,50.97,207.49,690.5,191199
215.8,49.52,208.85,703.3,197104
220.8,47.95,210.22,718.2,203358
225.8,46.26,211.58,735.4,209907
230.9,44.46,212.94,755.2,216694
235.9,42.55,214.30,778.2,223656
240.9,40.54,215.67,804.6,230727
245.9,38.43,217.03,835.1,237840
250.9,36.22,218.39,870.3,244924
256.0,33.93,219.75,911.2,251907
261.0,31.55,221.12,958.6,258716
266.0,29.10,222.48,1013.9,265279
271.0,26.58,223.84,1078.4,271524
276.0,23.99,225.20,1154.2,277382
281.0,21.34,226.57,1243.3,282787
286.1,18.64,227.93,1348.6,287676
291.1,15.89,229.29,1473.1,291993
296.1,13.11,230.65,1620.6,295686
301.1,10.29,232.02,1795.2,298712
306.1,7.45,233.38,2000.8,301034
311.2,4.59,234.74,2241.2,302624
316.2,1.72,236.10,2518.9,303462
