time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,277.55,9406.9,-303600
5.0,2.86,279.32,2404.1,-303221
10.1,5.72,281.09,2142.1,-302087
15.1,8.57,282.86,1916.3,-300211
20.1,11.40,284.63,1723.6,-297614
25.1,14.20,286.40,1560.2,-294324
30.2,16.97,288.16,1421.9,-290378
35.2,19.71,289.93,1305.1,-285819
40.2,22.40,291.70,1206.1,-280695
45.3,25.04,293.47,1122.0,-275060
50.3,27.63,295.24,1050.4,-268974
55.3,30.16,297.01,989.1,-262499
60.3,32.62,298.78,936.5,-255699
65.4,35.02,300.55,891.2,-248643
70.4,37.33,302.32,852.1,-241398
75.4,39.57,304.09,818.2,-234032
80.5,41.72,305.86,788.8,-226613
85.5,43.78,307.63,763.2,-219207
90.5,45.74,309.40,740.9,-211880
95.5,47.61,311.17,721.5,-204693
100.6,49.37,312.94,704.7,-197705
105.6,51.02,314.70,690.0,-190973
110.6,52.56,316.47,677.2,-184548
115.6,53.99,318.24,666.2,-178479
120.7,55.31,320.01,656.7,-172811
125.7,56.50,321.78,648.5,-167583
130.7,57.57,323.55,641.5,-162832
135.8,58.51,325.32,635.6,-158589
140.8,59.33,327.09,630.8,-154883
145.8,60.01,328.86,626.8,-151738
150.8,60.57,330.63,623.7,-149173
155.9,61.00,332.40,621.4,-147203
160.9,61.29,334.17,619.8,-145842
165.9,61.45,335.94,618.9,-145097
171.0,61.48,337.71,618.8,144972
176.0,61.37,339.48,619.4,145470
181.0,61.13,341.25,620.6,146585
186.0,60.76,343.01,622.7,148312
191.1,60.25,344.78,625.5,150641
196.1,59.62,346.55,629.1,153557
201.1,58.85,348.32,633.6,157041
206.2,57.96,350.09,639.0,161072
211.2,56.94,351.86,645.6,165623
216.2,55.80,353.63,653.2,170665
221.2,54.53,355.40,662.2,176162
226.3,53.15,357.17,672.6,182075
231.3,51.65,358.94,684.7,188363
236.3,50.04,0.71,698.5,194979
241.4,48.32,2.48,714.5,201871
246.4,46.50,4.25,732.9,208985
251.4,44.58,6.02,753.9,216263
256.4,42.55,7.79,778.1,223645
261.5,40.44,9.56,805.9,231067
266.5,38.24,11.32,838.0,238462
271.5,35.95,13.09,874.9,245764
276.5,33.59,14.86,917.6,252904
281.6,31.15,16.63,967.1,259814
286.6,28.65,18.40,1024.7,266427
291.6,26.08,20.17,1092.0,272677
296.7,23.46,21.94,1170.8,278499
301.7,20.79,23.71,1263.5,283834
306.7,18.07,25.48,1372.8,288625
311.7,15.31,27.25,1502.1,292822
316.8,12.52,29.02,1654.9,296379
321.8,9.70,30.79,1835.5,299257
326.8,6.86,32.56,2047.6,301424
331.9,4.01,34.33,2294.8,302857
336.9,1.15,36.10,2579.4,303539
