time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,319.40,9406.9,-303600
5.0,2.84,320.99,2406.2,-303226
10.0,5.68,322.58,2145.8,-302109
15.1,8.51,324.16,1920.8,-300259
20.1,11.32,325.75,1728.5,-297694
25.1,14.11,327.34,1565.0,-294440
30.1,16.88,328.93,1426.4,-290526
35.2,19.61,330.52,1308.9,-285991
40.2,22.31,332.11,1209.2,-280877
45.2,24.97,333.70,1124.3,-275232
50.2,27.58,335.29,1051.8,-269107
55.2,30.14,336.88,989.6,-262558
60.3,32.64,338.47,936.1,-255642
65.3,35.09,340.06,889.9,-248419
70.3,37.47,341.65,849.9,-240951
75.3,39.79,343.24,815.1,-233299
80.4,42.03,344.83,784.8,-225526
85.4,44.19,346.42,758.4,-217693
90.4,46.27,348.01,735.3,-209859
95.4,48.27,349.60,715.0,-202084
100.4,50.18,351.19,697.3,-194423
105.5,52.00,352.78,681.8,-186930
110.5,53.72,354.36,668.3,-179656
115.5,55.34,355.95,656.4,-172648
120.5,56.86,357.54,646.0,-165953
125.6,58.28,359.13,637.0,-159609
130.6,59.59,0.72,629.2,-153657
135.6,60.80,2.31,622.4,-148128
140.6,61.89,3.90,616.6,-143056
145.7,62.87,5.49,611.7,-138466
150.7,63.73,7.08,607.5,-134383
155.7,64.47,8.67,604.1,-130829
160.7,65.10,10.26,601.3,-127820
165.7,65.61,11.85,599.0,-125371
170.8,66.00,13.44,597.4,-123495
175.8,66.27,15.03,596.3,-122199
180.8,66.41,16.62,595.7,-121491
185.8,66.44,18.21,595.6,121372
190.9,66.34,19.80,596.0,121845
195.9,66.12,21.39,596.9,122906
200.9,65.78,22.97,598.3,124551
205.9,65.32,24.56,600.3,126772
210.9,64.74,26.15,602.9,129559
216.0,64.04,27.74,606.1,132897
221.0,63.22,29.33,609.9,136771
226.0,62.29,30.92,614.6,141160
231.0,61.25,32.51,620.0,146043
236.1,60.09,34.10,626.4,151393
241.1,58.82,35.69,633.8,157180
246.1,57.44,37.28,642.3,163371
251.1,55.96,38.87,652.1,169930
256.1,54.38,40.46,663.3,176818
261.2,52.70,42.05,676.2,183991
266.2,50.92,43.64,690.9,191402
271.2,49.04,45.23,707.7,199002
276.2,47.08,46.82,726.8,206739
281.3,45.03,48.41,748.7,214556
286.3,42.90,50.00,773.8,222397
291.3,40.69,51.58,802.5,230201
296.3,38.41,53.17,835.4,237909
301.3,36.05,54.76,873.2,245458
306.4,33.63,56.35,916.8,252786
311.4,31.15,57.94,967.3,259832
316.4,28.61,59.53,1025.8,266535
321.4,26.02,61.12,1093.9,272837
326.5,23.38,62.71,1173.6,278680
331.5,20.69,64.30,1267.1,284013
336.5,17.97,65.89,1377.0,288785
341.5,15.22,67.48,1506.8,292951
346.5,12.44,69.07,1659.8,296474
351.6,9.63,70.66,1840.2,299318
356.6,6.81,72.25,2051.7,301456
361.6,3.98,73.84,2297.6,302868
366.6,1.14,75.43,2580.3,303540
