time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,43.93,9406.9,-303600
5.0,2.90,45.99,2400.4,-303211
10.1,5.80,48.05,2135.9,-302048
15.1,8.67,50.11,1908.7,-300128
20.1,11.52,52.17,1715.6,-297479
25.1,14.34,54.23,1552.5,-294138
30.2,17.12,56.29,1415.2,-290151
35.2,19.84,58.35,1299.7,-285574
40.2,22.51,60.41,1202.3,-280469
45.3,25.11,62.46,1120.0,-274905
50.3,27.64,64.52,1050.2,-268956
55.3,30.09,66.58,990.8,-262699
60.3,32.44,68.64,940.2,-256215
65.4,34.71,70.70,896.8,-249584
70.4,36.87,72.76,859.6,-242888
75.4,38.92,74.82,827.7,-236206
80.5,40.86,76.88,800.2,-229618
85.5,42.68,78.94,776.6,-223197
90.5,44.37,81.00,756.2,-217016
95.5,45.94,83.05,738.8,-211142
100.6,47.37,85.11,724.0,-205636
105.6,48.66,87.17,711.3,-200555
110.6,49.80,89.23,700.7,-195951
115.7,50.80,91.29,691.9,-191869
120.7,51.66,93.35,684.6,-188349
125.7,52.36,95.41,678.9,-185422
130.7,52.90,97.47,674.5,-183118
135.8,53.30,99.53,671.5,-181457
140.8,53.53,101.59,669.7,-180455
145.8,53.61,103.64,669.1,0
150.9,53.53,105.70,669.7,180455
155.9,53.30,107.76,671.5,181457
160.9,52.90,109.82,674.5,183118
165.9,52.36,111.88,678.9,185422
171.0,51.66,113.94,684.6,188349
176.0,50.80,116.00,691.9,191869
181.0,49.80,118.06,700.7,195951
186.1,48.66,120.12,711.3,200555
191.1,47.37,122.18,724.0,205636
196.1,45.94,124.23,738.8,211142
201.1,44.37,126.29,756.2,217016
206.2,42.68,128.35,776.6,223197
211.2,40.86,130.41,800.2,229618
216.2,38.92,132.47,827.7,236206
221.3,36.87,134.53,859.6,242888
226.3,34.71,136.59,896.8,249584
231.3,32.44,138.65,940.2,256215
236.3,30.09,140.71,990.8,262699
241.4,27.64,142.77,1050.2,268956
246.4,25.11,144.82,1120.0,274905
251.4,22.51,146.88,1202.3,280469
256.5,19.84,148.94,1299.7,285574
261.5,17.12,151.00,1415.2,290151
266.5,14.34,153.06,1552.5,294138
271.5,11.52,155.12,1715.6,297479
276.6,8.67,157.18,1908.7,300128
281.6,5.80,159.24,2135.9,302048
286.6,2.90,161.30,2400.4,303211
291.7,0.00,163.35,2703.8,303600
