time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,105.17,9406.9,-303600
5.0,3.09,108.18,2382.2,-303159
10.1,6.15,111.18,2105.9,-301851
15.1,9.17,114.19,1873.2,-299724
20.2,12.10,117.19,1680.0,-296852
25.2,14.94,120.20,1521.1,-293337
30.2,17.65,123.20,1391.1,-289301
35.3,20.22,126.21,1284.9,-284883
40.3,22.63,129.21,1198.4,-280233
45.4,24.84,132.21,1128.0,-275507
50.4,26.85,135.22,1070.9,-270861
55.4,28.64,138.22,1024.9,-266444
60.5,30.20,141.23,988.3,-262399
65.5,31.50,144.23,959.7,-258852
70.6,32.55,147.24,938.0,-255913
75.6,33.33,150.24,922.7,-253673
80.6,33.83,153.25,913.0,-252198
85.7,34.05,156.25,908.8,-251534
90.7,34.00,159.26,909.9,251701
95.8,33.66,162.26,916.2,252693
100.8,33.05,165.27,928.1,254480
105.9,32.16,168.27,945.9,257010
110.9,31.01,171.28,970.2,260204
115.9,29.61,174.28,1001.9,263964
121.0,27.96,177.29,1042.1,268174
126.0,26.07,180.29,1092.3,272700
131.1,23.98,183.29,1154.4,277397
136.1,21.69,186.30,1230.9,282111
141.1,19.22,189.30,1324.8,286686
146.2,16.59,192.31,1439.9,290969
151.2,13.82,195.31,1580.9,294813
156.3,10.94,198.32,1752.9,298084
161.3,7.97,201.32,1961.3,300669
166.3,4.93,204.33,2211.0,302476
171.4,1.86,207.33,2505.4,303441
