time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,27.71,9406.9,-303600
5.0,3.01,29.99,2390.1,-303182
10.1,6.00,32.27,2118.7,-301937
15.1,8.96,34.55,1888.2,-299898
20.1,11.86,36.83,1694.7,-297117
25.1,14.70,39.10,1533.6,-293662
30.2,17.45,41.38,1400.0,-289621
35.2,20.11,43.66,1289.3,-285092
40.2,22.65,45.94,1197.6,-280185
45.3,25.06,48.22,1121.5,-275018
50.3,27.33,50.49,1058.3,-269713
55.3,29.44,52.77,1005.7,-264392
60.4,31.39,55.05,962.1,-259175
65.4,33.15,57.33,926.1,-254180
70.4,34.73,59.61,896.4,-249515
75.4,36.11,61.88,872.3,-245281
80.5,37.28,64.16,852.9,-241567
85.5,38.24,66.44,837.9,-238451
90.5,38.98,68.72,826.7,-235995
95.6,39.50,71.00,819.1,-234252
100.6,39.80,73.28,814.9,-233254
105.6,39.87,75.55,813.9,233022
110.7,39.71,77.83,816.2,233562
115.7,39.32,80.11,821.8,234861
120.7,38.71,82.39,830.8,236895
125.7,37.88,84.67,843.4,239621
130.8,36.84,86.94,860.1,242985
135.8,35.58,89.22,881.3,246917
140.8,34.12,91.50,907.6,251335
145.9,32.47,93.78,939.7,256144
150.9,30.63,96.06,978.6,261242
155.9,28.62,98.33,1025.6,266514
160.9,26.44,100.61,1082.1,271844
166.0,24.11,102.89,1150.2,277109
171.0,21.65,105.17,1232.2,282186
176.0,19.06,107.45,1331.1,286955
181.1,16.36,109.73,1450.4,291302
186.1,13.57,112.00,1594.4,295120
191.1,10.71,114.28,1767.9,298314
196.2,7.78,116.56,1975.7,300806
201.2,4.81,118.84,2222.2,302533
206.2,1.81,121.12,2510.5,303449
