time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,213.27,9406.9,-303600
5.0,2.88,214.30,2403.0,-303218
10.0,5.74,215.32,2140.3,-302075
15.1,8.60,216.35,1914.1,-300187
20.1,11.43,217.38,1721.3,-297575
25.1,14.24,218.41,1558.0,-294272
30.1,17.01,219.44,1420.1,-290316
35.2,19.74,220.46,1303.7,-285755
40.2,22.42,221.49,1205.2,-280642
45.2,25.05,222.52,1121.7,-275036
50.2,27.62,223.55,1050.7,-269001
55.3,30.12,224.58,990.0,-262603
60.3,32.55,225.60,938.0,-255914
65.3,34.90,226.63,893.4,-249005
70.3,37.16,227.66,854.9,-241949
75.4,39.34,228.69,821.6,-234818
80.4,41.41,229.71,792.8,-227683
85.4,43.39,230.74,767.8,-220615
90.4,45.27,231.77,746.1,-213679
95.5,47.03,232.80,727.4,-206942
100.5,48.68,233.83,711.1,-200462
105.5,50.21,234.85,697.0,-194297
110.5,51.62,235.88,684.9,-188500
115.6,52.90,236.91,674.5,-183118
120.6,54.06,237.94,665.7,-178194
125.6,55.09,238.96,658.2,-173768
130.6,55.98,239.99,652.0,-169873
135.7,56.73,241.02,646.9,-166538
140.7,57.35,242.05,642.9,-163789
145.7,57.83,243.08,639.8,-161644
150.7,58.17,244.10,637.7,-160120
155.8,58.37,245.13,636.5,-159227
160.8,58.42,246.16,636.2,158971
165.8,58.34,247.19,636.7,159355
170.8,58.11,248.21,638.1,160375
175.9,57.75,249.24,640.4,162024
180.9,57.24,250.27,643.6,164291
185.9,56.59,251.30,647.8,167159
190.9,55.81,252.33,653.1,170608
195.9,54.89,253.35,659.6,174611
201.0,53.84,254.38,667.3,179140
206.0,52.66,255.41,676.5,184159
211.0,51.35,256.44,687.2,189628
216.0,49.91,257.46,699.7,195503
221.1,48.36,258.49,714.2,201735
226.1,46.69,259.52,730.9,208270
231.1,44.90,260.55,750.2,215053
236.1,43.01,261.58,772.5,222020
241.2,41.01,262.60,798.2,229107
246.2,38.91,263.63,827.9,236246
251.2,36.72,264.66,862.1,243368
256.2,34.43,265.69,901.8,250401
261.3,32.07,266.72,947.8,257272
266.3,29.63,267.74,1001.4,263908
271.3,27.11,268.77,1064.0,270239
276.3,24.53,269.80,1137.3,276194
281.4,21.89,270.83,1223.6,281706
286.4,19.20,271.85,1325.4,286713
291.4,16.46,272.88,1445.8,291157
296.4,13.68,273.91,1588.5,294986
301.5,10.87,274.94,1757.4,298154
306.5,8.03,275.97,1956.5,300623
311.5,5.17,276.99,2189.8,302364
316.5,2.30,278.02,2460.1,303355
