time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,66.55,9406.9,-303600
5.0,2.86,69.20,2404.2,-303221
10.0,5.72,71.86,2142.4,-302088
15.1,8.56,74.52,1916.7,-300215
20.1,11.39,77.17,1724.1,-297623
25.1,14.19,79.83,1560.8,-294340
30.1,16.96,82.48,1422.7,-290404
35.1,19.68,85.14,1305.9,-285858
40.1,22.37,87.79,1207.1,-280753
45.2,25.01,90.45,1123.1,-275143
50.2,27.58,93.11,1051.6,-269089
55.2,30.10,95.76,990.4,-262653
60.2,32.55,98.42,938.0,-255903
65.2,34.93,101.07,892.8,-248906
70.3,37.23,103.73,853.8,-241731
75.3,39.45,106.39,820.0,-234448
80.3,41.57,109.04,790.7,-227125
85.3,43.61,111.70,765.2,-219830
90.3,45.54,114.35,743.1,-212626
95.3,47.38,117.01,723.8,-205577
100.4,49.11,119.67,707.1,-198743
105.4,50.73,122.32,692.5,-192179
110.4,52.23,124.98,679.9,-185937
115.4,53.62,127.63,669.0,-180066
120.4,54.89,130.29,659.6,-174609
125.5,56.04,132.94,651.6,-169608
130.5,57.06,135.60,644.8,-165097
135.5,57.95,138.26,639.1,-161107
140.5,58.71,140.91,634.4,-157666
145.5,59.34,143.57,630.7,-154796
150.5,59.84,146.22,627.8,-152517
155.6,60.21,148.88,625.7,-150842
160.6,60.44,151.54,624.4,-149783
165.6,60.53,154.19,623.9,-149345
170.6,60.49,156.85,624.1,149533
175.6,60.32,159.50,625.1,150344
180.7,60.01,162.16,626.9,151774
185.7,59.56,164.82,629.4,153813
190.7,58.98,167.47,632.8,156448
195.7,58.27,170.13,637.1,159663
200.7,57.43,172.78,642.4,163437
205.8,56.46,175.44,648.7,167743
210.8,55.36,178.09,656.2,172552
215.8,54.14,180.75,665.1,177831
220.8,52.80,183.41,675.3,183541
225.8,51.34,186.06,687.2,189640
230.8,49.77,188.72,701.0,196082
235.9,48.08,191.37,716.8,202815
240.9,46.29,194.03,735.0,209785
245.9,44.39,196.69,756.0,216934
250.9,42.40,199.34,780.1,224200
255.9,40.31,202.00,807.8,231520
261.0,38.13,204.65,839.7,238827
266.0,35.86,207.31,876.5,246054
271.0,33.51,209.96,919.1,253130
276.0,31.09,212.62,968.5,259987
281.0,28.60,215.28,1026.0,266556
286.0,26.04,217.93,1093.1,272771
291.1,23.43,220.59,1171.8,278566
296.1,20.76,223.24,1264.4,283880
301.1,18.05,225.90,1373.6,288656
306.1,15.30,228.56,1502.8,292841
311.1,12.51,231.21,1655.5,296390
316.2,9.70,233.87,1835.9,299263
321.2,6.86,236.52,2047.9,301427
326.2,4.01,239.18,2295.0,302858
331.2,1.15,241.84,2579.4,303539
