time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,322.59,9406.9,-303600
5.0,2.81,323.73,2409.4,-303235
10.0,5.62,324.86,2151.2,-302142
15.1,8.42,325.99,1927.6,-300331
20.1,11.20,327.13,1735.8,-297814
25.1,13.98,328.26,1572.2,-294611
30.1,16.73,329.39,1433.0,-290746
35.2,19.47,330.53,1314.7,-286247
40.2,22.17,331.66,1213.8,-281149
45.2,24.85,332.79,1127.7,-275488
50.2,27.50,333.93,1053.9,-269306
55.2,30.11,335.06,990.4,-262645
60.3,32.68,336.19,935.5,-255554
65.3,35.20,337.33,887.9,-248079
70.3,37.68,338.46,846.6,-240273
75.3,40.11,339.60,810.5,-232186
80.4,42.49,340.73,778.9,-223870
85.4,44.81,341.86,751.2,-215377
90.4,47.08,343.00,726.9,-206760
95.4,49.28,344.13,705.5,-198069
100.4,51.41,345.26,686.7,-189354
105.5,53.48,346.40,670.1,-180664
110.5,55.48,347.53,655.4,-172046
115.5,57.41,348.66,642.5,-163546
120.5,59.26,349.80,631.2,-155204
125.5,61.03,350.93,621.2,-147062
130.6,62.72,352.06,612.4,-139158
135.6,64.33,353.20,604.7,-131528
140.6,65.85,354.33,598.0,-124202
145.6,67.29,355.46,592.1,-117213
150.7,68.64,356.60,587.0,-110587
155.7,69.90,357.73,582.6,-104349
160.7,71.06,358.86,578.8,-98522
165.7,72.14,360.00,575.5,-93126
170.7,73.12,1.13,572.7,-88178
175.8,74.00,2.27,570.3,-83695
180.8,74.78,3.40,568.3,-79690
185.8,75.47,4.53,566.7,-76175
190.8,76.06,5.67,565.3,-73160
195.9,76.54,6.80,564.2,-70653
200.9,76.93,7.93,563.4,-68661
205.9,77.21,9.07,562.8,-67189
210.9,77.40,10.20,562.5,-66241
215.9,77.48,11.33,562.3,-65820
221.0,77.46,12.47,562.3,65925
226.0,77.34,13.60,562.6,66558
231.0,77.11,14.73,563.0,67716
236.0,76.79,15.87,563.7,69396
241.1,76.36,17.00,564.6,71595
246.1,75.83,18.13,565.8,74306
251.1,75.21,19.27,567.3,77522
256.1,74.48,20.40,569.1,81234
261.1,73.66,21.53,571.2,85432
266.2,72.74,22.67,573.8,90102
271.2,71.72,23.80,576.7,95231
276.2,70.61,24.93,580.2,100802
281.2,69.40,26.07,584.3,106796
286.3,68.11,27.20,589.0,113192
291.3,66.72,28.34,594.4,119967
296.3,65.25,29.47,600.6,127094
301.3,63.69,30.60,607.7,134545
306.3,62.05,31.74,615.8,142289
311.4,60.33,32.87,625.0,150293
316.4,58.52,34.00,635.6,158519
321.4,56.64,35.14,647.5,166929
326.4,54.69,36.27,661.1,175482
331.4,52.66,37.40,676.4,184134
336.5,50.57,38.54,693.9,192840
341.5,48.40,39.67,713.7,201551
346.5,46.18,40.80,736.2,210218
351.5,43.89,41.94,761.9,218792
356.6,41.55,43.07,791.0,227220
361.6,39.15,44.20,824.3,235451
366.6,36.70,45.34,862.4,243432
371.6,34.20,46.47,906.2,251112
376.6,31.65,47.60,956.5,258439
381.7,29.07,48.74,1014.7,265364
386.7,26.44,49.87,1082.1,271838
391.7,23.78,51.01,1160.6,277817
396.7,21.09,52.14,1252.3,283258
401.8,18.38,53.27,1359.7,288120
406.8,15.63,54.41,1486.0,292369
411.8,12.87,55.54,1634.5,295973
416.8,10.09,56.67,1808.9,298904
421.8,7.30,57.81,2013.1,301141
426.9,4.49,58.94,2250.2,302666
431.9,1.69,60.07,2522.8,303469
