time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,282.66,9406.9,-303600
5.0,2.90,284.08,2400.8,-303212
10.1,5.79,285.50,2136.5,-302052
15.1,8.66,286.92,1909.4,-300136
20.1,11.51,288.34,1716.3,-297492
25.2,14.33,289.75,1553.2,-294154
30.2,17.11,291.17,1415.7,-290169
35.2,19.84,292.59,1300.0,-285588
40.3,22.51,294.01,1202.4,-280473
45.3,25.12,295.43,1119.8,-274891
50.3,27.66,296.85,1049.7,-268913
55.3,30.12,298.26,990.1,-262614
60.4,32.49,299.68,939.2,-256072
65.4,34.78,301.10,895.5,-249367
70.4,36.96,302.52,858.0,-242578
75.5,39.05,303.94,825.8,-235783
80.5,41.02,305.36,798.0,-229060
85.5,42.88,306.77,774.1,-222482
90.6,44.61,308.19,753.5,-216120
95.6,46.22,309.61,735.8,-210040
100.6,47.71,311.03,720.6,-204305
105.7,49.05,312.45,707.6,-198972
110.7,50.26,313.87,696.6,-194092
115.7,51.33,315.28,687.4,-189712
120.8,52.25,316.70,679.8,-185872
125.8,53.02,318.12,673.6,-182607
130.8,53.65,319.54,668.8,-179947
135.9,54.13,320.96,665.2,-177914
140.9,54.45,322.37,662.8,-176527
145.9,54.62,323.79,661.6,-175797
150.9,54.63,325.21,661.5,175730
156.0,54.49,326.63,662.5,176328
161.0,54.20,328.05,664.6,177585
166.0,53.76,329.47,668.0,179490
171.1,53.16,330.88,672.5,182026
176.1,52.42,332.30,678.4,185172
181.1,51.52,333.72,685.7,188900
186.2,50.48,335.14,694.6,193175
191.2,49.30,336.56,705.2,197958
196.2,47.99,337.98,717.8,203205
201.3,46.53,339.39,732.5,208864
206.3,44.95,340.81,749.7,214879
211.3,43.23,342.23,769.7,221190
216.4,41.40,343.65,792.9,227730
221.4,39.45,345.07,819.9,234430
226.4,37.39,346.48,851.2,241217
231.5,35.22,347.90,887.6,248013
236.5,32.96,349.32,929.9,254742
241.5,30.60,350.74,979.3,261322
246.5,28.16,352.16,1037.0,267676
251.6,25.63,353.58,1104.9,273725
256.6,23.04,354.99,1184.7,279392
261.6,20.37,356.41,1279.1,284606
266.7,17.66,357.83,1391.0,289298
271.7,14.89,359.25,1523.8,293407
276.7,12.08,0.67,1681.5,296879
281.8,9.23,2.09,1868.2,299665
286.8,6.37,3.50,2088.2,301728
291.8,3.48,4.92,2344.8,303041
296.9,0.58,6.34,2640.1,303584
