time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,13.28,9406.9,-303600
5.0,2.97,16.17,2393.8,-303192
10.0,5.93,19.07,2125.0,-301978
15.1,8.85,21.96,1895.6,-299983
20.1,11.74,24.86,1702.2,-297249
25.1,14.57,27.75,1540.3,-293834
30.1,17.34,30.65,1405.3,-289808
35.2,20.02,33.54,1292.8,-285255
40.2,22.61,36.44,1198.9,-280267
45.2,25.09,39.33,1120.5,-274944
50.2,27.46,42.22,1054.8,-269390
55.3,29.70,45.12,999.7,-263714
60.3,31.80,48.01,953.4,-258022
65.3,33.75,50.91,914.5,-252420
70.3,35.55,53.80,881.8,-247011
75.4,37.18,56.70,854.6,-241891
80.4,38.64,59.59,831.9,-237151
85.4,39.91,62.49,813.3,-232870
90.4,41.00,65.38,798.3,-229122
95.4,41.90,68.28,786.4,-225969
100.5,42.60,71.17,777.5,-223463
105.5,43.11,74.06,771.2,-221643
110.5,43.41,76.96,767.6,-220540
115.5,43.51,79.85,766.3,220170
120.6,43.41,82.75,767.6,220540
125.6,43.11,85.64,771.2,221643
130.6,42.60,88.54,777.5,223463
135.6,41.90,91.43,786.4,225969
140.7,41.00,94.33,798.3,229122
145.7,39.91,97.22,813.3,232870
150.7,38.64,100.11,831.9,237151
155.7,37.18,103.01,854.6,241891
160.8,35.55,105.90,881.8,247011
165.8,33.75,108.80,914.5,252420
170.8,31.80,111.69,953.4,258022
175.8,29.70,114.59,999.7,263714
180.9,27.46,117.48,1054.8,269390
185.9,25.09,120.38,1120.5,274944
190.9,22.61,123.27,1198.9,280267
195.9,20.02,126.17,1292.8,285255
200.9,17.34,129.06,1405.3,289808
206.0,14.57,131.95,1540.3,293834
211.0,11.74,134.85,1702.2,297249
216.0,8.85,137.74,1895.6,299983
221.0,5.93,140.64,2125.0,301978
226.1,2.97,143.53,2393.8,303192
231.1,0.00,146.43,2703.8,303600
