time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,311.82,9406.9,-303600
5.1,3.20,316.51,2371.6,-303127
10.1,6.36,321.19,2088.8,-301732
15.2,9.44,325.88,1853.8,-299489
20.2,12.40,330.57,1662.0,-296515
25.3,15.21,335.25,1507.1,-292962
30.4,17.83,339.94,1383.2,-289012
35.4,20.23,344.62,1284.5,-284865
40.5,22.38,349.31,1206.6,-280727
45.5,24.25,353.99,1145.8,-276801
50.6,25.83,358.68,1099.3,-273278
55.6,27.08,3.36,1064.9,-270325
60.7,27.99,8.05,1041.2,-268084
65.8,28.56,12.74,1027.0,-266658
70.8,28.77,17.42,1021.7,-266114
75.9,28.63,22.11,1025.2,266477
80.9,28.13,26.79,1037.6,267731
86.0,27.29,31.48,1059.4,269816
91.1,26.10,36.16,1091.5,272637
96.1,24.59,40.85,1135.5,276058
101.2,22.78,45.54,1193.2,279918
106.2,20.68,50.22,1267.4,284030
111.3,18.33,54.91,1361.6,288192
116.3,15.75,59.59,1480.1,292197
121.4,12.98,64.28,1628.3,295845
126.5,10.04,68.96,1812.2,298949
131.5,6.98,73.65,2038.1,301349
136.6,3.84,78.33,2311.0,302920
141.6,0.64,83.02,2633.5,303581
