time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,18.53,9406.9,-303600
5.0,2.87,20.02,2403.1,-303218
10.0,5.74,21.50,2140.5,-302076
15.0,8.60,22.98,1914.4,-300190
20.1,11.43,24.46,1721.6,-297581
25.1,14.23,25.95,1558.4,-294283
30.1,17.00,27.43,1420.6,-290335
35.1,19.73,28.91,1304.3,-285784
40.1,22.40,30.40,1206.0,-280687
45.1,25.02,31.88,1122.6,-275102
50.2,27.58,33.36,1051.6,-269093
55.2,30.07,34.85,991.1,-262731
60.2,32.49,36.33,939.2,-256085
65.2,34.82,37.81,894.7,-249229
70.2,37.07,39.30,856.3,-242235
75.2,39.23,40.78,823.1,-235178
80.3,41.29,42.26,794.5,-228129
85.3,43.24,43.75,769.6,-221159
90.3,45.09,45.23,748.1,-214335
95.3,46.83,46.71,729.4,-207721
100.3,48.45,48.20,713.3,-201379
105.3,49.95,49.68,699.4,-195364
110.4,51.32,51.16,687.4,-189730
115.4,52.57,52.64,677.2,-184524
120.4,53.69,54.13,668.5,-179789
125.4,54.67,55.61,661.2,-175563
130.4,55.52,57.09,655.2,-171880
135.4,56.23,58.58,650.3,-168767
140.5,56.80,60.06,646.5,-166249
145.5,57.23,61.54,643.7,-164344
150.5,57.51,63.03,641.9,-163067
155.5,57.66,64.51,640.9,-162425
160.5,57.66,65.99,640.9,162425
165.5,57.51,67.48,641.9,163067
170.6,57.23,68.96,643.7,164344
175.6,56.80,70.44,646.5,166249
180.6,56.23,71.93,650.3,168767
185.6,55.52,73.41,655.2,171880
190.6,54.67,74.89,661.2,175563
195.6,53.69,76.37,668.5,179789
200.7,52.57,77.86,677.2,184524
205.7,51.32,79.34,687.4,189730
210.7,49.95,80.82,699.4,195364
215.7,48.45,82.31,713.3,201379
220.7,46.83,83.79,729.4,207721
225.7,45.09,85.27,748.1,214335
230.8,43.24,86.76,769.6,221159
235.8,41.29,88.24,794.5,228129
240.8,39.23,89.72,823.1,235178
245.8,37.07,91.21,856.3,242235
250.8,34.82,92.69,894.7,249229
255.8,32.49,94.17,939.2,256085
260.9,30.07,95.66,991.1,262731
265.9,27.58,97.14,1051.6,269093
270.9,25.02,98.62,1122.6,275102
275.9,22.40,100.10,1206.0,280687
280.9,19.73,101.59,1304.3,285784
285.9,17.00,103.07,1420.6,290335
291.0,14.23,104.55,1558.4,294283
296.0,11.43,106.04,1721.6,297581
301.0,8.60,107.52,1914.4,300190
306.0,5.74,109.00,2140.5,302076
311.0,2.87,110.49,2403.1,303218
316.0,0.00,111.97,2703.8,303600
