time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,293.57,9406.9,-303600
5.0,3.28,299.55,2363.5,-303102
10.1,6.51,305.53,2076.3,-301642
15.1,9.63,311.52,1840.6,-299323
20.2,12.58,317.50,1651.2,-296306
25.2,15.33,323.49,1501.3,-292800
30.3,17.81,329.47,1384.0,-289043
35.3,20.00,335.46,1293.5,-285289
40.4,21.85,341.44,1225.1,-281788
45.4,23.33,347.43,1175.0,-278771
50.5,24.42,353.41,1140.7,-276434
55.5,25.10,359.39,1120.3,-274929
60.6,25.36,5.38,1112.8,-274351
65.6,25.19,11.36,1117.8,274737
70.7,24.59,17.35,1135.5,276063
75.7,23.58,23.33,1166.9,278244
80.8,22.18,29.32,1213.7,281139
85.8,20.40,35.30,1278.2,284560
90.9,18.28,41.29,1363.9,288283
95.9,15.85,47.27,1475.4,292060
101.0,13.15,53.25,1618.3,295637
106.0,10.23,59.24,1799.2,298770
111.0,7.14,65.22,2025.2,301243
116.1,3.93,71.21,2301.8,302884
121.1,0.66,77.19,2631.6,303580
