time_s,elevation_deg,azimuth_deg,slant_range_km,doppler_hz
0.0,0.00,309.86,9406.9,-303600
5.0,2.80,310.56,2410.2,-303237
10.0,5.60,311.25,2152.5,-302150
15.0,8.39,311.95,1929.3,-300348
20.0,11.18,312.64,1737.6,-297843
25.1,13.94,313.34,1574.1,-294656
30.1,16.69,314.03,1435.0,-290808
35.1,19.42,314.72,1316.5,-286330
40.1,22.12,315.42,1215.6,-281252
45.1,24.80,316.11,1129.4,-275612
50.1,27.44,316.81,1055.4,-269450
55.1,30.04,317.50,991.8,-262808
60.1,32.61,318.20,936.8,-255733
65.2,35.14,318.89,889.1,-248272
70.2,37.62,319.59,847.6,-240475
75.2,40.05,320.28,811.3,-232392
80.2,42.43,320.97,779.6,-224074
85.2,44.76,321.67,751.8,-215573
90.2,47.03,322.36,727.4,-206940
95.2,49.24,323.06,705.9,-198225
100.2,51.38,323.75,686.9,-189478
105.2,53.46,324.45,670.2,-180747
110.3,55.47,325.14,655.5,-172078
115.3,57.41,325.84,642.5,-163516
120.3,59.28,326.53,631.1,-155103
125.3,61.07,327.22,621.0,-146880
130.3,62.78,327.92,612.1,-138883
135.3,64.41,328.61,604.4,-131148
140.3,65.95,329.31,597.6,-123709
145.3,67.42,330.00,591.6,-116594
150.4,68.79,330.70,586.5,-109832
155.4,70.08,331.39,582.0,-103447
160.4,71.28,332.09,578.1,-97462
165.4,72.38,332.78,574.8,-91898
170.4,73.39,333.47,571.9,-86773
175.4,74.31,334.17,569.5,-82102
180.4,75.13,334.86,567.5,-77899
185.4,75.86,335.56,565.8,-74177
190.4,76.49,336.25,564.4,-70946
195.5,77.02,336.95,563.2,-68215
200.5,77.45,337.64,562.4,-65989
205.5,77.78,338.34,561.7,-64276
210.5,78.01,339.03,561.3,-63080
215.5,78.14,339.72,561.0,-62402
220.5,78.17,340.42,561.0,62246
225.5,78.10,341.11,561.1,62611
230.5,77.93,341.81,561.4,63496
235.6,77.66,342.50,561.9,64900
240.6,77.29,343.20,562.7,66818
245.6,76.82,343.89,563.7,69247
250.6,76.25,344.59,564.9,72179
255.6,75.58,345.28,566.4,75608
260.6,74.82,345.97,568.2,79523
265.6,73.95,346.67,570.4,83915
270.6,73.00,347.36,573.0,88769
275.6,71.95,348.06,576.0,94072
280.7,70.81,348.75,579.6,99807
285.7,69.57,349.45,583.7,105954
290.7,68.25,350.14,588.5,112493
295.7,66.84,350.84,593.9,119399
300.7,65.35,351.53,600.2,126647
305.7,63.76,352.22,607.4,134209
310.7,62.10,352.92,615.5,142052
315.7,60.36,353.61,624.9,150144
320.7,58.54,354.31,635.5,158448
325.8,56.65,355.00,647.5,166926
330.8,54.68,355.70,661.1,175536
335.8,52.64,356.39,676.6,184235
340.8,50.53,357.09,694.2,192978
345.8,48.36,357.78,714.1,201718
350.8,46.13,358.47,736.8,210406
355.8,43.84,359.17,762.5,218992
360.8,41.49,359.86,791.8,227426
365.9,39.09,0.56,825.2,235656
370.9,36.63,1.25,863.5,243631
375.9,34.13,1.95,907.3,251300
380.9,31.59,2.64,957.8,258612
385.9,29.01,3.34,1016.1,265519
390.9,26.38,4.03,1083.7,271975
395.9,23.73,4.72,1162.3,277933
400.9,21.04,5.42,1254.1,283353
405.9,18.33,6.11,1361.6,288195
411.0,15.59,6.81,1487.9,292425
416.0,12.84,7.50,1636.4,296011
421.0,10.06,8.20,1810.7,298928
426.0,7.28,8.89,2014.6,301154
431.0,4.48,9.59,2251.3,302671
436.0,1.68,10.28,2523.3,303469
