time_s,x_m,y_m,z_m,range_m,v_radial_mps,azimuth_deg,elevation_deg,rcs_m2
0.000,216.148,0.005,10.012,216.380,-1.944,0.001,2.652,0.001167
0.100,216.042,0.003,10.234,216.284,-0.747,0.001,2.712,0.004052
0.200,216.138,-0.141,10.498,216.393,10.017,-0.037,2.781,0.005097
0.300,216.129,0.007,10.768,216.397,11.439,0.002,2.852,0.001347
0.400,216.084,-0.027,10.957,216.362,1.110,-0.007,2.903,0.005388
0.500,216.297,0.100,11.186,216.586,3.684,0.027,2.960,0.009663
0.600,216.371,-0.156,11.410,216.672,7.489,-0.041,3.019,0.005943
0.700,216.106,-0.039,11.741,216.425,-2.235,-0.010,3.110,0.002854
0.800,216.086,-0.034,11.972,216.418,5.287,-0.009,3.171,0.005266
0.900,216.207,0.022,12.226,216.553,2.793,0.006,3.236,0.024313
1.000,216.174,0.046,12.458,216.532,-4.886,0.012,3.298,0.017068
1.100,216.132,0.003,12.526,216.494,-7.245,0.001,3.317,0.000448
1.200,216.185,-0.056,12.888,216.569,3.061,-0.015,3.412,0.007243
1.300,216.137,0.023,13.147,216.537,9.569,0.006,3.481,0.015380
1.400,216.319,-0.088,13.353,216.730,-4.930,-0.023,3.532,0.018220
1.500,216.244,-0.151,13.592,216.671,-1.144,-0.040,3.597,0.003626
1.600,216.197,0.031,13.841,216.640,1.581,0.008,3.663,0.000305
1.700,216.265,-0.041,14.059,216.722,5.109,-0.011,3.720,0.001686
1.800,216.203,0.068,14.320,216.677,11.319,0.018,3.789,0.000744
1.900,216.227,-0.030,14.566,216.717,3.576,-0.008,3.854,0.006586
2.000,216.352,0.120,14.876,216.863,1.692,0.032,3.933,0.004436
2.100,216.146,0.116,14.994,216.665,-7.456,0.031,3.968,0.008964
2.200,216.197,0.009,15.269,216.735,-7.744,0.002,4.040,0.017954
2.300,216.236,-0.087,15.471,216.788,1.301,-0.023,4.092,0.006013
2.400,216.199,-0.078,15.792,216.775,1.067,-0.021,4.178,0.009313
2.500,216.223,-0.016,16.014,216.816,-1.768,-0.004,4.236,0.002982
2.600,216.189,-0.029,16.239,216.798,-10.861,-0.008,4.296,0.007965
2.700,216.193,-0.046,16.539,216.825,12.332,-0.012,4.375,0.010930
2.800,216.191,0.131,16.789,216.842,3.157,0.035,4.441,0.005712
2.900,216.041,0.019,16.951,216.705,4.684,0.005,4.486,0.003847
3.000,216.181,0.064,17.260,216.869,4.901,0.017,4.565,0.009280
3.100,216.184,-0.004,17.387,216.882,-2.067,-0.001,4.598,0.009013
3.200,216.193,0.098,17.656,216.912,23.511,0.026,4.669,0.004784
3.300,216.067,-0.083,17.921,216.809,1.644,-0.022,4.741,0.004743
3.400,216.282,-0.077,18.234,217.050,1.970,-0.021,4.819,0.005100
3.500,216.079,-0.000,18.379,216.859,6.291,-0.000,4.862,0.005343
3.600,216.159,-0.088,18.680,216.964,3.337,-0.023,4.939,0.003303
3.700,216.061,-0.041,18.892,216.885,4.696,-0.011,4.997,0.001548
3.800,216.278,0.117,19.191,217.128,-1.616,0.031,5.071,0.007615
3.900,216.230,-0.030,19.375,217.097,7.862,-0.008,5.120,0.001567
4.000,216.133,-0.058,19.632,217.023,-12.084,-0.015,5.190,0.015444
4.100,216.135,0.139,19.876,217.047,4.834,0.037,5.254,0.004442
4.200,216.016,-0.088,20.079,216.947,-4.530,-0.023,5.311,0.016148
4.300,216.336,-0.196,20.376,217.293,-3.247,-0.052,5.381,0.002827
4.400,216.215,0.134,20.555,217.189,-4.204,0.036,5.431,0.011246
4.500,216.270,0.130,20.844,217.272,-5.599,0.034,5.505,0.025633
4.600,216.255,0.006,21.078,217.280,9.060,0.002,5.567,0.001642
4.700,216.217,-0.060,21.366,217.270,-3.003,-0.016,5.643,0.004458
4.800,216.148,0.015,21.593,217.224,14.432,0.004,5.705,0.001156
4.900,215.918,-0.039,21.727,217.009,12.875,-0.010,5.746,0.004638
5.000,216.149,0.130,21.988,217.264,-7.139,0.034,5.809,0.007219
5.100,216.304,-0.015,22.208,217.441,-1.162,-0.004,5.862,0.015564
5.200,216.175,0.042,22.554,217.348,-3.643,0.011,5.956,0.007072
5.300,216.118,-0.031,22.753,217.312,14.509,-0.008,6.010,0.009104
5.400,216.189,-0.069,22.999,217.409,5.509,-0.018,6.073,0.005176
5.500,216.314,0.026,23.234,217.558,10.877,0.007,6.130,0.000774
5.600,216.154,0.009,23.535,217.432,-11.418,0.002,6.214,0.022794
5.700,216.131,0.026,23.736,217.430,-4.321,0.007,6.267,0.023680
5.800,216.193,0.112,23.919,217.512,-2.566,0.030,6.313,0.001249
5.900,216.094,0.019,24.136,217.438,3.897,0.005,6.373,0.006846
6.000,216.060,-0.120,24.530,217.448,-6.516,-0.032,6.477,0.003805
6.100,216.102,0.050,24.707,217.510,-2.198,0.013,6.522,0.001958
6.200,216.220,0.183,24.883,217.648,0.182,0.049,6.565,0.000058
6.300,216.246,-0.061,25.189,217.708,-4.221,-0.016,6.644,0.008083
6.400,216.140,-0.082,25.439,217.632,10.367,-0.022,6.713,0.000763
6.500,216.191,0.002,25.703,217.713,7.138,0.000,6.780,0.003418
6.600,216.281,-0.042,25.773,217.812,6.014,-0.011,6.796,0.008635
6.700,216.281,-0.023,26.215,217.864,-4.522,-0.006,6.911,0.005749
6.800,216.317,0.063,26.393,217.921,6.365,0.017,6.956,0.009607
6.900,216.193,-0.029,26.637,217.828,-6.108,-0.008,7.024,0.006935
7.000,216.180,-0.211,27.021,217.862,-11.151,-0.056,7.125,0.017948
7.100,216.193,0.099,27.032,217.876,0.714,0.026,7.127,0.001384
7.200,216.106,0.019,27.383,217.834,-12.795,0.005,7.221,0.000355
7.300,216.202,0.048,27.730,217.973,-0.930,0.013,7.309,0.019229
7.400,216.198,0.210,27.745,217.971,17.776,0.056,7.313,0.002848
7.500,216.110,-0.047,28.132,217.934,-2.045,-0.012,7.417,0.013555
7.600,216.187,-0.067,28.343,218.037,1.949,-0.018,7.469,0.016716
7.700,216.126,-0.189,28.611,218.011,-3.481,-0.050,7.541,0.002967
7.800,216.149,-0.125,28.733,218.050,6.041,-0.033,7.572,0.010578
7.900,216.207,0.014,29.092,218.156,1.286,0.004,7.663,0.001391
8.000,216.244,-0.093,29.308,218.221,-1.441,-0.025,7.718,0.000130
8.100,216.275,0.003,29.565,218.287,1.189,0.001,7.784,0.012759
8.200,216.185,0.038,29.801,218.229,-0.945,0.010,7.849,0.000053
8.300,216.202,-0.041,29.993,218.272,-2.648,-0.011,7.898,0.004953
8.400,216.123,0.128,30.221,218.226,5.637,0.034,7.960,0.008193
8.500,216.135,-0.131,30.383,218.260,-9.789,-0.035,8.002,0.020480
8.600,215.992,-0.061,30.572,218.145,-13.737,-0.016,8.056,0.022182
8.700,216.131,-0.080,30.889,218.327,19.409,-0.021,8.133,0.001903
8.800,216.208,0.088,31.193,218.446,-18.576,0.023,8.210,0.024028
8.900,216.108,0.132,31.389,218.376,-0.412,0.035,8.264,0.025563
9.000,215.950,0.031,31.713,218.266,0.331,0.008,8.354,0.001404
9.100,216.166,0.070,31.887,218.506,-2.592,0.019,8.391,0.010755
9.200,216.176,-0.059,32.159,218.555,15.347,-0.016,8.462,0.011041
9.300,216.184,-0.129,32.496,218.613,1.906,-0.034,8.548,0.001071
9.400,216.258,0.176,32.723,218.720,-12.296,0.047,8.604,0.002819
9.500,216.151,0.019,32.976,218.652,3.183,0.005,8.674,0.005616
9.600,216.110,-0.129,33.041,218.621,10.065,-0.034,8.693,0.020676
9.700,216.095,-0.013,33.403,218.661,-8.048,-0.003,8.787,0.001488
9.800,216.264,0.155,33.685,218.871,-7.037,0.041,8.853,0.014340
9.900,216.209,-0.141,33.832,218.840,5.219,-0.037,8.893,0.022118
10.000,216.117,0.129,34.037,218.781,5.814,0.034,8.950,0.000442
10.100,216.218,-0.156,34.333,218.927,13.306,-0.041,9.023,0.021263
10.200,216.296,0.002,34.495,219.030,5.870,0.000,9.061,0.006666
10.300,216.322,0.077,34.717,219.090,-6.404,0.020,9.118,0.011270
10.400,216.370,-0.157,35.083,219.195,5.468,-0.042,9.210,0.007107
10.500,216.152,-0.114,35.221,219.003,-3.055,-0.030,9.255,0.014112
10.600,216.229,-0.082,35.563,219.134,8.879,-0.022,9.340,0.036648
10.700,216.235,0.078,35.796,219.178,9.759,0.021,9.400,0.001649
10.800,216.121,0.156,35.990,219.098,2.065,0.041,9.455,0.006174
10.900,216.032,0.036,36.196,219.043,9.068,0.009,9.511,0.001535
11.000,216.256,0.124,36.599,219.331,8.950,0.033,9.606,0.047144
11.100,216.097,0.015,36.703,219.192,5.098,0.004,9.639,0.003480
11.200,216.019,-0.131,36.989,219.163,3.246,-0.035,9.717,0.001287
11.300,216.283,0.051,37.157,219.452,7.276,0.014,9.748,0.000817
11.400,216.250,0.038,37.470,219.472,-1.301,0.010,9.830,0.012031
11.500,216.249,0.007,37.700,219.511,-3.342,0.002,9.889,0.004521
11.600,216.424,0.017,37.983,219.732,-13.743,0.005,9.954,0.003940
11.700,216.212,-0.054,38.181,219.557,-14.605,-0.014,10.015,0.000751
11.800,216.212,0.048,38.435,219.602,-2.594,0.013,10.080,0.031698
11.900,216.334,0.125,38.728,219.773,20.994,0.033,10.149,0.009473
12.000,216.345,-0.052,38.883,219.812,0.302,-0.014,10.189,0.006450
12.100,216.097,-0.025,39.122,219.610,10.709,-0.007,10.262,0.012053
12.200,216.394,0.028,39.422,219.956,-9.776,0.007,10.325,0.004628
12.300,216.275,-0.096,39.641,219.878,1.133,-0.025,10.386,0.005417
12.400,216.256,-0.158,39.711,219.872,5.558,-0.042,10.405,0.001117
12.500,216.197,0.078,40.104,219.886,6.900,0.021,10.509,0.003106
12.600,216.092,0.077,40.320,219.821,-3.960,0.020,10.569,0.047608
12.700,215.861,-0.100,40.574,219.641,-10.463,-0.027,10.645,0.001080
12.800,216.128,-0.037,40.905,219.965,9.588,-0.010,10.717,0.000434
12.900,216.165,0.169,41.085,220.034,14.933,0.045,10.762,0.009465
13.000,216.260,-0.125,41.310,220.170,8.378,-0.033,10.814,0.035730
13.100,216.089,-0.044,41.607,220.058,3.697,-0.012,10.899,0.006975
13.200,216.028,0.096,41.834,220.041,3.018,0.026,10.960,0.019785
13.300,216.194,-0.157,41.991,220.234,-6.894,-0.042,10.992,0.011308
13.400,216.220,0.263,42.245,220.308,5.620,0.070,11.055,0.012741
13.500,216.269,0.041,42.520,220.409,6.001,0.011,11.123,0.017687
13.600,216.083,-0.009,42.749,220.271,2.044,-0.002,11.191,0.009681
13.700,216.188,-0.092,42.991,220.421,0.988,-0.024,11.247,0.000587
13.800,216.227,0.005,43.223,220.505,-1.215,0.001,11.304,0.004016
13.900,216.073,-0.024,43.515,220.412,1.572,-0.006,11.387,0.006931
14.000,216.394,-0.062,43.674,220.757,3.299,-0.017,11.411,0.005610
14.100,216.041,-0.079,43.931,220.462,-9.006,-0.021,11.494,0.002698
14.200,216.230,0.063,44.249,220.711,9.981,0.017,11.565,0.022087
14.300,216.141,0.009,44.449,220.664,5.126,0.002,11.621,0.002342
14.400,216.067,-0.126,44.682,220.639,-6.103,-0.033,11.684,0.000803
14.500,216.317,0.128,44.873,220.922,1.280,0.034,11.719,0.000545
14.600,216.119,-0.215,45.165,220.788,1.632,-0.057,11.804,0.004199
14.700,216.037,0.200,45.340,220.743,-1.486,0.053,11.853,0.000804
14.800,215.978,0.141,45.609,220.742,14.555,0.037,11.924,0.012971
14.900,216.211,-0.082,45.935,221.037,5.850,-0.022,11.994,0.015119
15.000,216.238,-0.026,46.155,221.109,-16.893,-0.007,12.049,0.007611
15.100,216.381,-0.083,46.374,221.294,-3.731,-0.022,12.097,0.010880
15.200,216.111,-0.054,46.647,221.089,5.496,-0.014,12.180,0.005405
15.300,216.285,0.064,46.750,221.280,9.259,0.017,12.197,0.027522
15.400,216.245,0.077,47.002,221.295,4.160,0.021,12.263,0.005185
15.500,216.156,0.113,47.282,221.267,1.729,0.030,12.339,0.005104
15.600,216.127,-0.143,47.668,221.322,-4.411,-0.038,12.438,0.006818
15.700,216.086,-0.221,47.904,221.333,8.583,-0.059,12.500,0.031251
15.800,216.155,0.163,48.014,221.423,-0.174,0.043,12.524,0.046173
15.900,216.173,-0.013,48.350,221.514,4.179,-0.003,12.607,0.001036
16.000,215.986,-0.040,48.493,221.363,0.381,-0.011,12.654,0.003799
16.100,216.255,0.108,48.777,221.688,-16.554,0.029,12.711,0.000436
16.200,216.161,0.153,49.096,221.667,-0.046,0.041,12.796,0.024705
16.300,216.189,-0.023,49.309,221.741,10.948,-0.006,12.849,0.022784
16.400,216.314,-0.139,49.499,221.906,4.868,-0.037,12.889,0.011502
16.500,215.857,-0.194,49.709,221.507,4.198,-0.052,12.968,0.003002
16.600,216.174,-0.026,49.986,221.877,2.519,-0.007,13.020,0.000473
16.700,216.138,0.029,50.243,221.901,-6.686,0.008,13.086,0.004583
16.800,216.252,0.108,50.425,222.053,1.751,0.029,13.126,0.009122
16.900,216.099,-0.097,50.702,221.968,-0.970,-0.026,13.204,0.001099
17.000,216.168,-0.006,50.961,222.094,3.636,-0.001,13.265,0.009063
17.100,216.184,-0.065,51.150,222.153,-11.305,-0.017,13.312,0.015181
17.200,216.253,0.012,51.450,222.289,-5.273,0.003,13.383,0.016224
17.300,216.064,-0.068,51.702,222.164,1.145,-0.018,13.457,0.041714
17.400,216.222,-0.139,52.001,222.387,0.633,-0.037,13.523,0.005912
17.500,215.995,-0.040,52.133,222.197,5.550,-0.010,13.569,0.008527
17.600,216.179,-0.101,52.312,222.418,-21.888,-0.027,13.603,0.002575
17.700,216.116,-0.051,52.640,222.435,-3.997,-0.014,13.689,0.038095
17.800,216.139,-0.041,52.894,222.518,2.804,-0.011,13.751,0.010315
17.900,216.044,0.094,53.166,222.489,12.202,0.025,13.825,0.003006
18.000,215.987,0.028,53.466,222.506,3.853,0.007,13.904,0.005752
18.100,216.223,0.110,53.639,222.777,12.781,0.029,13.932,0.031892
18.200,216.194,0.138,53.887,222.809,1.252,0.037,13.996,0.019904
18.300,216.040,-0.016,54.098,222.710,-8.401,-0.004,14.058,0.004432
18.400,216.166,0.114,54.366,222.898,4.183,0.030,14.117,0.004615
18.500,216.235,-0.076,54.470,222.990,1.635,-0.020,14.139,0.012568
18.600,216.099,-0.036,54.778,222.934,3.269,-0.009,14.224,0.008300
18.700,215.989,-0.116,55.069,222.899,-0.114,-0.031,14.303,0.004837
18.800,216.179,0.100,55.352,223.153,3.169,0.027,14.362,0.015718
18.900,216.117,0.160,55.509,223.131,9.493,0.042,14.405,0.005771
19.000,216.217,-0.123,55.780,223.297,5.156,-0.033,14.466,0.000602
19.100,216.392,0.145,55.979,223.515,-4.829,0.038,14.504,0.006724
19.200,216.153,-0.207,56.234,223.348,0.415,-0.055,14.583,0.007317
19.300,216.127,0.057,56.439,223.375,-6.133,0.015,14.635,0.010519
19.400,216.109,-0.088,56.730,223.431,5.997,-0.023,14.709,0.015225
19.500,216.234,-0.185,56.966,223.612,-6.479,-0.049,14.759,0.001101
19.600,216.121,-0.023,57.191,223.560,4.447,-0.006,14.822,0.002001
19.700,216.192,-0.006,57.470,223.700,-14.212,-0.002,14.887,0.023733
19.800,216.123,-0.027,57.662,223.683,-0.731,-0.007,14.939,0.005854
19.900,216.229,0.186,57.858,223.836,-0.591,0.049,14.980,0.000936
20.000,216.065,0.003,58.150,223.753,-0.679,0.001,15.063,0.000539
20.100,216.120,0.057,58.354,223.860,-3.555,0.015,15.110,0.021540
20.200,216.291,-0.039,58.650,224.102,-6.516,-0.010,15.172,0.006245
20.300,216.079,0.177,58.843,223.947,-1.718,0.047,15.233,0.004097
20.400,216.104,0.018,59.181,224.061,5.350,0.005,15.315,0.009555
20.500,215.946,0.028,59.290,223.938,0.217,0.007,15.353,0.003078
20.600,216.234,-0.018,59.610,224.300,11.608,-0.005,15.412,0.041605
20.700,216.210,-0.064,59.848,224.340,1.929,-0.017,15.472,0.005917
20.800,216.081,0.019,60.085,224.279,2.025,0.005,15.540,0.005955
20.900,216.326,-0.211,60.368,224.591,-8.662,-0.056,15.592,0.010867
21.000,216.221,-0.011,60.628,224.561,12.352,-0.003,15.663,0.009322
21.100,216.164,0.018,60.778,224.546,2.909,0.005,15.704,0.010478
21.200,216.153,0.001,61.064,224.613,-1.257,0.000,15.775,0.001792
21.300,216.100,0.059,61.331,224.635,3.701,0.016,15.844,0.000908
21.400,216.323,0.117,61.526,224.903,-7.973,0.031,15.877,0.008275
21.500,216.087,0.073,61.683,224.718,2.873,0.019,15.932,0.001091
21.600,216.191,0.073,62.040,224.917,-5.053,0.019,16.012,0.007586
21.700,216.165,-0.037,62.282,224.959,3.804,-0.010,16.073,0.010494
21.800,216.202,-0.062,62.531,225.063,1.726,-0.017,16.131,0.000553
21.900,216.191,0.153,62.774,225.120,-1.807,0.041,16.191,0.001173
22.000,216.073,-0.166,62.885,225.038,-2.585,-0.044,16.227,0.000075
22.100,216.171,0.032,63.274,225.241,8.022,0.009,16.315,0.008859
22.200,216.282,0.036,63.452,225.398,8.167,0.009,16.350,0.000372
22.300,216.164,-0.015,63.697,225.353,-2.200,-0.004,16.419,0.021645
22.400,216.361,-0.019,63.847,225.585,6.701,-0.005,16.441,0.001277
22.500,216.233,-0.122,64.207,225.564,6.806,-0.032,16.538,0.003957
22.600,216.141,-0.053,64.445,225.544,24.312,-0.014,16.603,0.017886
22.700,216.362,0.041,64.756,225.844,6.539,0.011,16.662,0.026629
22.800,216.093,0.145,64.918,225.634,10.932,0.039,16.721,0.000728
22.900,216.244,0.042,65.110,225.833,3.788,0.011,16.757,0.013761
23.000,216.127,-0.044,65.366,225.796,0.389,-0.012,16.827,0.006745
23.100,216.305,-0.023,65.644,226.046,5.481,-0.006,16.882,0.003379
23.200,216.156,0.018,65.905,225.980,8.706,0.005,16.956,0.007943
23.300,216.176,-0.026,66.108,226.059,-5.186,-0.007,17.004,0.001298
23.400,216.044,0.099,66.294,225.986,13.859,0.026,17.059,0.006402
23.500,216.122,-0.101,66.681,226.175,-3.176,-0.027,17.147,0.026192
23.600,216.170,0.029,66.888,226.282,5.507,0.008,17.193,0.012234
23.700,216.127,-0.026,67.058,226.291,-7.717,-0.007,17.238,0.000325
23.800,216.350,0.163,67.210,226.549,4.056,0.043,17.258,0.025869
23.900,216.252,-0.001,67.502,226.543,18.035,-0.000,17.335,0.000552
24.000,216.345,0.006,67.885,226.746,-5.405,0.002,17.421,0.007491
24.100,216.125,0.133,68.069,226.591,-1.474,0.035,17.482,0.005066
24.200,216.229,0.065,68.199,226.729,12.675,0.017,17.505,0.006887
24.300,216.278,-0.203,68.510,226.870,1.002,-0.054,17.576,0.004563
24.400,216.243,-0.014,68.758,226.911,-7.702,-0.004,17.639,0.005910
24.500,216.049,0.115,68.974,226.792,7.352,0.031,17.706,0.006980
24.600,216.169,-0.032,69.168,226.965,0.592,-0.008,17.743,0.003044
24.700,216.177,-0.015,69.530,227.084,2.080,-0.004,17.830,0.003539
24.800,216.137,0.000,69.754,227.114,-3.951,0.000,17.886,0.013186
24.900,216.073,-0.114,69.965,227.118,-11.298,-0.030,17.942,0.008760
25.000,216.007,-0.148,70.184,227.123,5.450,-0.039,18.000,0.020069
25.100,216.102,0.102,70.422,227.287,0.512,0.027,18.049,0.014024
25.200,216.127,-0.248,70.765,227.417,4.524,-0.066,18.130,0.004828
25.300,216.180,-0.021,70.927,227.518,6.177,-0.006,18.164,0.001644
25.400,216.082,-0.042,71.055,227.465,10.920,-0.011,18.203,0.010432
25.500,216.246,-0.074,71.419,227.735,9.077,-0.020,18.277,0.020282
25.600,216.126,-0.124,71.668,227.699,0.420,-0.033,18.346,0.002781
25.700,216.215,-0.163,71.902,227.857,-5.069,-0.043,18.394,0.005112
25.800,216.133,0.013,72.217,227.878,7.910,0.003,18.476,0.034952
25.900,216.277,0.196,72.329,228.051,4.935,0.052,18.491,0.013640
26.000,216.111,0.060,72.653,227.997,4.001,0.016,18.582,0.009245
26.100,216.095,-0.108,72.885,228.056,-5.858,-0.029,18.638,0.002820
26.200,216.063,-0.050,73.070,228.084,6.334,-0.013,18.685,0.012746
26.300,216.147,-0.041,73.326,228.246,-1.097,-0.011,18.739,0.029031
26.400,216.162,-0.046,73.628,228.358,-2.547,-0.012,18.810,0.017677
26.500,216.263,-0.068,73.831,228.518,-6.020,-0.018,18.850,0.009187
26.600,216.373,-0.055,73.984,228.672,-1.296,-0.014,18.877,0.008192
26.700,216.060,-0.026,74.270,228.469,-5.950,-0.007,18.970,0.006580
26.800,216.240,-0.051,74.568,228.736,-4.325,-0.014,19.026,0.015078
26.900,216.091,-0.061,74.792,228.668,-6.720,-0.016,19.091,0.004231
27.000,216.433,-0.107,75.015,229.065,1.289,-0.028,19.116,0.003689
27.100,216.135,0.132,75.261,228.864,-6.520,0.035,19.199,0.016719
27.200,216.042,0.012,75.578,228.880,-4.070,0.003,19.281,0.018621
27.300,216.090,0.030,75.760,228.986,-2.560,0.008,19.320,0.024258
27.400,216.223,-0.004,75.909,229.160,5.179,-0.001,19.345,0.001614
27.500,216.396,0.067,76.217,229.426,-4.215,0.018,19.403,0.035773
27.600,216.156,-0.002,76.483,229.288,1.986,-0.001,19.485,0.008772
27.700,216.056,0.023,76.777,229.292,1.165,0.006,19.563,0.009432
27.800,216.298,0.086,76.893,229.559,-10.292,0.023,19.570,0.004546
27.900,216.213,-0.076,77.167,229.571,-3.478,-0.020,19.642,0.000197
28.000,216.035,-0.050,77.449,229.498,-3.369,-0.013,19.723,0.003492
28.100,216.159,0.102,77.623,229.674,-2.383,0.027,19.753,0.007667
28.200,216.089,-0.042,77.971,229.726,-3.652,-0.011,19.841,0.009293
28.300,216.202,0.131,78.232,229.920,8.514,0.035,19.892,0.020543
28.400,216.163,0.107,78.399,229.940,0.682,0.028,19.935,0.001472
28.500,216.101,0.024,78.613,229.956,1.477,0.006,19.990,0.012540
28.600,216.162,-0.143,78.910,230.115,3.096,-0.038,20.055,0.007866
28.700,216.186,0.011,79.182,230.231,0.059,0.003,20.116,0.036024
28.800,216.240,0.003,79.390,230.353,-17.283,0.001,20.160,0.000287
28.900,216.162,0.084,79.643,230.367,1.506,0.022,20.226,0.005651
29.000,216.372,-0.085,79.836,230.631,-2.209,-0.022,20.253,0.005800
29.100,216.234,0.144,80.128,230.602,-0.893,0.038,20.333,0.000222
29.200,216.278,0.109,80.339,230.718,-0.729,0.029,20.378,0.004762
29.300,215.978,-0.183,80.606,230.529,3.700,-0.049,20.466,0.018188
29.400,216.235,-0.065,80.848,230.855,-9.655,-0.017,20.500,0.010730
29.500,216.233,0.005,81.056,230.926,0.234,0.001,20.549,0.021344
29.600,216.166,-0.107,81.290,230.946,4.442,-0.028,20.609,0.031685
29.700,216.132,-0.209,81.439,230.966,0.092,-0.055,20.647,0.007245
29.800,216.148,0.047,81.861,231.130,-2.132,0.012,20.743,0.016892
29.900,216.400,0.072,82.015,231.420,-3.467,0.019,20.757,0.017342
