time_s,x_m,y_m,z_m,range_m,v_radial_mps,azimuth_deg,elevation_deg,rcs_m2
0.000,355.030,-0.055,38.098,357.068,15.035,-0.009,6.125,0.009530
0.100,355.185,0.863,38.109,357.225,4.566,0.139,6.124,0.021296
0.200,355.195,1.371,38.064,357.232,-12.834,0.221,6.117,0.010523
0.300,354.981,1.978,38.056,357.020,10.478,0.319,6.119,0.009786
0.400,355.024,2.543,38.099,357.071,6.838,0.410,6.125,0.000546
0.500,355.272,3.302,38.031,357.317,3.855,0.532,6.110,0.005003
0.600,355.167,3.920,38.003,357.216,-7.692,0.632,6.107,0.004634
0.700,355.184,4.333,38.034,357.241,-1.517,0.699,6.112,0.004996
0.800,355.300,5.142,38.123,357.376,-5.006,0.829,6.124,0.002963
0.900,355.070,5.803,38.094,357.154,6.575,0.936,6.123,0.004954
1.000,355.122,6.370,38.065,357.213,-4.436,1.028,6.117,0.006895
1.100,355.084,7.015,37.998,357.181,-2.261,1.132,6.107,0.002459
1.200,355.134,7.705,38.035,357.248,-8.071,1.243,6.112,0.005193
1.300,355.194,8.455,38.090,357.330,13.553,1.364,6.119,0.006901
1.400,355.044,8.985,38.030,357.188,-1.182,1.450,6.112,0.010765
1.500,355.110,9.778,38.080,357.280,-8.222,1.577,6.118,0.019305
1.600,355.069,10.416,37.910,357.239,-1.585,1.680,6.092,0.009093
1.700,355.291,10.954,38.041,357.489,8.120,1.766,6.109,0.008645
1.800,355.348,11.533,38.123,357.573,6.733,1.859,6.120,0.005188
1.900,355.236,12.189,37.983,357.469,-6.743,1.965,6.100,0.003344
2.000,355.071,12.976,38.042,357.339,-5.122,2.093,6.111,0.002525
2.100,355.194,13.511,38.157,357.493,17.203,2.178,6.127,0.021137
2.200,355.029,14.477,38.105,357.361,0.990,2.335,6.121,0.018199
2.300,354.949,14.933,37.925,357.282,3.097,2.409,6.093,0.036020
2.400,355.015,15.683,38.071,357.395,0.811,2.529,6.115,0.010493
2.500,355.421,16.187,38.089,357.822,3.612,2.608,6.110,0.007253
2.600,355.038,16.738,38.102,357.469,-13.390,2.699,6.119,0.003243
2.700,355.324,17.367,38.122,357.785,6.407,2.798,6.116,0.006328
2.800,355.102,18.027,38.079,357.592,-6.929,2.906,6.113,0.012897
2.900,355.185,18.794,38.114,357.719,-0.591,3.029,6.116,0.011203
3.000,354.984,19.423,38.030,357.544,-5.216,3.132,6.106,0.008656
3.100,355.133,19.999,38.039,357.723,6.423,3.223,6.104,0.004230
3.200,355.207,20.797,38.043,357.843,8.060,3.351,6.103,0.015540
3.300,355.247,21.167,38.028,357.903,0.041,3.410,6.099,0.005284
3.400,355.141,21.978,38.048,357.849,-18.062,3.541,6.103,0.002403
3.500,355.044,22.576,38.025,357.788,-4.257,3.638,6.101,0.023061
3.600,355.133,23.210,38.079,357.922,1.690,3.739,6.107,0.015534
3.700,355.152,23.886,38.028,357.980,-3.012,3.848,6.098,0.004743
3.800,355.136,24.402,38.098,358.006,6.316,3.931,6.109,0.001697
3.900,355.233,25.210,38.062,358.155,10.225,4.059,6.100,0.008139
4.000,355.042,25.678,38.140,358.007,-6.718,4.137,6.116,0.038412
4.100,355.111,26.362,38.087,358.119,-6.137,4.246,6.105,0.011182
4.200,355.117,26.877,38.021,358.157,-5.542,4.328,6.094,0.003079
4.300,355.230,27.640,38.079,358.333,3.183,4.449,6.100,0.006267
4.400,355.100,28.414,38.034,358.259,3.467,4.575,6.094,0.009989
4.500,355.032,29.004,38.054,358.242,7.245,4.670,6.098,0.002307
4.600,355.126,29.582,38.039,358.380,-13.206,4.762,6.093,0.002750
4.700,355.058,30.352,37.912,358.364,-12.639,4.886,6.073,0.012022
