time_s,x_m,y_m,z_m,range_m,v_radial_mps,azimuth_deg,elevation_deg,rcs_m2
0.000,296.806,0.015,9.966,296.973,-19.840,0.003,1.923,0.015937
0.100,296.815,-0.099,10.481,297.000,3.113,-0.019,2.022,0.009455
0.200,296.574,0.096,10.811,296.771,10.646,0.019,2.088,0.007473
0.300,296.584,-0.038,11.265,296.798,7.786,-0.007,2.175,0.001514
0.400,296.743,0.033,11.694,296.973,-3.124,0.006,2.257,0.001278
0.500,296.677,0.106,11.949,296.917,0.198,0.021,2.306,0.039039
0.600,296.731,-0.111,12.490,296.994,4.081,-0.021,2.410,0.005972
0.700,297.003,-0.126,12.888,297.283,7.955,-0.024,2.485,0.010613
0.800,296.780,-0.087,13.270,297.076,-7.988,-0.017,2.560,0.009816
0.900,296.547,-0.021,13.700,296.863,0.702,-0.004,2.645,0.009620
1.000,296.820,-0.007,14.108,297.155,9.554,-0.001,2.721,0.015122
1.100,296.847,-0.070,14.542,297.203,3.606,-0.013,2.805,0.026054
1.200,296.646,-0.245,14.910,297.021,-3.017,-0.047,2.877,0.002705
1.300,296.638,-0.072,15.395,297.037,1.189,-0.014,2.971,0.002794
1.400,296.806,-0.018,15.756,297.224,-4.976,-0.003,3.039,0.008041
1.500,296.634,0.222,16.175,297.075,-0.231,0.043,3.121,0.008699
1.600,296.699,0.144,16.632,297.165,-2.343,0.028,3.208,0.000110
1.700,296.821,0.075,16.965,297.305,2.120,0.015,3.271,0.006754
1.800,296.605,-0.059,17.378,297.113,-12.804,-0.011,3.353,0.005688
1.900,296.582,-0.132,17.803,297.116,0.316,-0.025,3.435,0.004071
2.000,296.654,-0.054,18.217,297.213,-0.109,-0.010,3.514,0.004681
2.100,296.811,0.214,18.666,297.397,1.363,0.041,3.599,0.006067
2.200,296.751,-0.098,19.071,297.364,-5.384,-0.019,3.677,0.012110
2.300,296.752,-0.191,19.552,297.396,-0.316,-0.037,3.769,0.002201
2.400,296.602,-0.097,19.938,297.271,7.109,-0.019,3.846,0.007089
2.500,296.633,0.068,20.298,297.327,11.141,0.013,3.915,0.003092
2.600,296.533,-0.104,20.625,297.250,2.287,-0.020,3.979,0.001000
2.700,296.660,-0.021,21.075,297.408,8.637,-0.004,4.063,0.013307
2.800,296.689,0.030,21.436,297.462,-3.838,0.006,4.132,0.002274
2.900,296.836,-0.052,21.923,297.644,-5.793,-0.010,4.224,0.015990
