time_s,x_m,y_m,z_m,range_m,v_radial_mps,azimuth_deg,elevation_deg,rcs_m2
0.000,140.880,0.030,68.584,156.687,-7.958,0.012,25.958,0.000308
0.100,140.790,0.307,68.558,156.596,-5.382,0.125,25.964,0.006218
0.200,140.828,0.648,68.565,156.633,5.929,0.263,25.960,0.002331
0.300,140.723,0.949,68.543,156.532,-0.841,0.386,25.969,0.017392
0.400,140.788,1.109,68.565,156.601,2.570,0.451,25.966,0.003455
0.500,140.774,1.450,68.512,156.567,2.327,0.590,25.950,0.004624
0.600,140.728,1.810,68.536,156.540,-1.155,0.737,25.965,0.003896
0.700,140.766,2.099,68.568,156.592,-1.612,0.854,25.969,0.000228
0.800,140.718,2.389,68.573,156.555,-0.695,0.973,25.977,0.020007
0.900,140.604,2.735,68.537,156.442,-3.973,1.114,25.983,0.004135
1.000,140.521,3.035,68.538,156.373,3.020,1.237,25.995,0.003964
1.100,140.551,3.342,68.568,156.421,5.473,1.362,25.999,0.007617
1.200,140.412,3.621,68.559,156.298,0.840,1.477,26.017,0.002699
1.300,140.423,4.011,68.567,156.321,0.580,1.636,26.017,0.016382
1.400,140.236,4.205,68.582,156.165,4.199,1.717,26.051,0.000091
1.500,140.379,4.533,68.545,156.286,-9.466,1.850,26.014,0.002373
1.600,140.314,4.791,68.589,156.254,3.165,1.956,26.037,0.003849
1.700,140.225,5.136,68.558,156.172,4.058,2.098,26.040,0.000556
1.800,140.151,5.486,68.553,156.115,-0.023,2.242,26.048,0.013414
1.900,139.918,5.732,68.576,155.925,-6.318,2.346,26.091,0.002033
2.000,139.915,6.007,68.560,155.925,2.049,2.459,26.085,0.019395
2.100,139.768,6.281,68.546,155.798,-0.349,2.573,26.102,0.022844
2.200,139.691,6.561,68.586,155.759,-2.692,2.689,26.125,0.001664
2.300,139.587,6.861,68.531,155.654,-2.348,2.814,26.122,0.040509
2.400,139.482,7.200,68.574,155.594,-0.490,2.955,26.150,0.006403
2.500,139.283,7.441,68.566,155.423,-1.776,3.058,26.178,0.005899
2.600,139.368,7.827,68.563,155.517,-2.432,3.215,26.160,0.009633
2.700,139.150,8.043,68.542,155.323,-2.499,3.308,26.186,0.002487
2.800,139.023,8.289,68.581,155.240,-5.254,3.412,26.217,0.000225
2.900,138.885,8.560,68.536,155.111,0.952,3.527,26.222,0.020167
3.000,138.684,8.829,68.591,154.971,-4.511,3.643,26.270,0.003644
3.100,138.634,9.140,68.552,154.926,0.653,3.772,26.262,0.011944
3.200,138.383,9.396,68.536,154.710,-2.574,3.884,26.295,0.008269
3.300,138.369,9.650,68.559,154.724,-1.243,3.989,26.302,0.006844
3.400,138.168,9.821,68.557,154.554,-0.526,4.066,26.333,0.008155
3.500,138.018,10.223,68.552,154.443,-0.828,4.236,26.351,0.000930
3.600,137.850,10.446,68.565,154.314,-0.663,4.334,26.380,0.002666
3.700,137.635,10.726,68.545,154.133,4.122,4.456,26.405,0.005604
3.800,137.537,10.866,68.556,154.059,7.379,4.517,26.423,0.008177
3.900,137.379,11.269,68.580,153.958,-4.256,4.690,26.452,0.001208
4.000,137.108,11.471,68.533,153.711,-5.525,4.782,26.478,0.016407
4.100,137.078,11.806,68.541,153.712,1.785,4.922,26.481,0.003850
4.200,136.892,11.910,68.517,153.544,-2.606,4.972,26.502,0.002547
4.300,136.793,12.188,68.599,153.515,-2.017,5.091,26.542,0.013097
4.400,136.387,12.420,68.586,153.165,-5.245,5.203,26.602,0.007118
4.500,136.273,12.798,68.538,153.074,5.488,5.365,26.599,0.008218
4.600,136.076,12.973,68.573,152.929,-1.356,5.446,26.641,0.003417
4.700,135.932,13.106,68.591,152.821,-4.478,5.507,26.669,0.002873
4.800,135.709,13.388,68.556,152.630,-5.220,5.634,26.690,0.016916
4.900,135.537,13.612,68.544,152.492,-7.307,5.735,26.711,0.009098
5.000,135.221,13.852,68.591,152.254,2.609,5.849,26.776,0.004459
5.100,135.050,14.007,68.586,152.114,-0.559,5.921,26.800,0.001111
5.200,134.921,14.200,68.590,152.019,-2.975,6.008,26.820,0.001370
5.300,134.668,14.458,68.580,151.815,-3.681,6.128,26.855,0.009527
5.400,134.385,14.619,68.588,151.583,-3.371,6.208,26.903,0.030829
5.500,134.175,14.849,68.573,151.413,-3.463,6.315,26.929,0.016618
5.600,133.949,15.098,68.578,151.239,-4.687,6.431,26.965,0.002318
5.700,133.801,15.290,68.571,151.124,-1.513,6.519,26.984,0.009337
5.800,133.478,15.431,68.568,150.851,-1.644,6.595,27.035,0.000314
5.900,133.221,15.626,68.562,150.641,0.858,6.690,27.074,0.010337
6.000,132.926,15.902,68.596,150.425,-4.657,6.822,27.130,0.022205
6.100,132.740,16.061,68.583,150.271,-2.096,6.899,27.155,0.010118
6.200,132.492,16.188,68.539,150.046,-0.733,6.966,27.180,0.008718
6.300,132.317,16.427,68.569,149.932,-0.333,7.077,27.215,0.003718
6.400,132.018,16.601,68.557,149.681,1.480,7.167,27.259,0.027842
6.500,131.738,16.743,68.540,149.443,-4.072,7.243,27.299,0.017401
6.600,131.611,16.962,68.550,149.359,-1.515,7.344,27.320,0.004683
6.700,131.265,17.087,68.556,149.072,1.787,7.417,27.380,0.026008
6.800,130.998,17.279,68.590,148.875,-6.064,7.514,27.434,0.004938
6.900,130.809,17.334,68.550,148.697,-3.982,7.549,27.452,0.013461
7.000,130.473,17.539,68.602,148.449,-4.606,7.656,27.524,0.003928
7.100,130.227,17.617,68.561,148.223,-0.006,7.704,27.552,0.019184
7.200,129.930,17.864,68.560,147.991,-3.429,7.829,27.598,0.044403
7.300,129.662,17.943,68.562,147.767,-2.132,7.879,27.645,0.007701
7.400,129.417,18.062,68.586,147.577,-6.508,7.945,27.694,0.007174
7.500,129.059,18.180,68.575,147.272,-6.297,8.018,27.751,0.019536
7.600,128.770,18.309,68.575,147.036,-8.336,8.092,27.800,0.084303
7.700,128.551,18.400,68.588,146.861,-3.553,8.145,27.841,0.006432
7.800,128.188,18.536,68.584,146.559,-6.496,8.228,27.902,0.008828
7.900,127.993,18.683,68.533,146.383,-7.159,8.305,27.916,0.000572
8.000,127.595,18.746,68.549,146.051,-4.446,8.358,27.992,0.010257
8.100,127.393,18.961,68.609,145.931,-5.393,8.466,28.044,0.001621
8.200,127.081,18.977,68.600,145.656,-7.492,8.493,28.097,0.014199
8.300,126.844,19.071,68.549,145.438,-2.696,8.551,28.121,0.003706
8.400,126.590,19.193,68.553,145.234,-2.155,8.621,28.165,0.018231
8.500,126.179,19.209,68.556,144.880,-2.765,8.656,28.242,0.021180
8.600,125.949,19.328,68.599,144.715,-5.420,8.725,28.296,0.005175
8.700,125.680,19.364,68.573,144.474,-2.119,8.759,28.336,0.031692
8.800,125.410,19.401,68.543,144.229,-10.510,8.794,28.375,0.004664
8.900,125.011,19.537,68.544,143.902,-0.126,8.883,28.446,0.006885
9.000,124.805,19.606,68.584,143.752,3.232,8.928,28.496,0.001960
9.100,124.434,19.640,68.528,143.407,-2.992,8.969,28.546,0.000307
9.200,124.187,19.760,68.565,143.228,-5.859,9.041,28.602,0.004744
