time_s,x_m,y_m,z_m,range_m,v_radial_mps,azimuth_deg,elevation_deg,rcs_m2
0.000,260.667,0.111,67.222,269.195,-6.593,0.024,14.461,0.016384
0.100,260.653,0.647,67.211,269.180,1.024,0.142,14.459,0.000959
0.200,260.534,1.309,67.271,269.082,1.241,0.288,14.478,0.009014
0.300,260.615,2.044,67.235,269.156,-5.022,0.449,14.466,0.006479
0.400,260.530,2.645,67.170,269.062,-1.483,0.582,14.456,0.009518
0.500,260.500,3.438,67.215,269.054,-3.387,0.756,14.467,0.007798
0.600,260.352,4.004,67.197,268.914,1.206,0.881,14.471,0.035257
0.700,260.396,4.683,67.209,268.971,-0.253,1.030,14.470,0.042082
0.800,260.379,5.318,67.264,268.980,-0.604,1.170,14.482,0.026223
0.900,260.214,5.927,67.233,268.824,9.174,1.305,14.483,0.002502
1.000,260.130,6.739,67.235,268.764,-6.676,1.484,14.487,0.003632
1.100,260.074,7.260,67.247,268.726,-0.820,1.599,14.492,0.003089
1.200,260.038,8.120,67.247,268.715,-0.636,1.789,14.493,0.004755
1.300,259.777,8.706,67.206,268.471,2.531,1.919,14.497,0.002767
1.400,259.650,9.325,67.238,268.377,-2.561,2.057,14.509,0.042149
1.500,259.517,10.129,67.242,268.279,-1.267,2.235,14.516,0.035087
1.600,259.421,10.673,67.219,268.201,-3.550,2.356,14.515,0.012344
1.700,259.230,11.342,67.220,268.043,2.692,2.505,14.524,0.009107
1.800,259.124,11.962,67.199,267.963,-5.578,2.643,14.524,0.018722
1.900,258.943,12.545,67.242,267.826,0.209,2.774,14.541,0.001259
2.000,258.751,13.252,67.226,267.670,0.047,2.932,14.546,0.006124
2.100,258.625,13.859,67.228,267.579,0.693,3.067,14.551,0.016645
2.200,258.419,14.548,67.255,267.423,-0.818,3.222,14.566,0.006409
2.300,258.134,15.222,67.213,267.175,-4.750,3.375,14.570,0.001390
2.400,257.906,15.849,67.211,266.990,-2.973,3.517,14.580,0.004309
2.500,257.761,16.333,67.251,266.890,-1.235,3.626,14.595,0.004724
2.600,257.458,17.117,67.221,266.638,2.262,3.804,14.602,0.010991
2.700,257.196,17.646,67.247,266.427,-3.872,3.925,14.620,0.001452
2.800,256.930,18.306,67.263,266.218,-3.426,4.075,14.635,0.003927
2.900,256.736,19.018,67.258,266.080,-8.511,4.237,14.642,0.006567
3.000,256.420,19.604,67.244,265.814,-2.928,4.372,14.653,0.003481
3.100,256.126,20.093,67.219,265.561,-1.387,4.486,14.662,0.000099
3.200,255.856,20.795,67.243,265.361,3.143,4.646,14.679,0.009686
3.300,255.584,21.506,67.243,265.155,-0.016,4.810,14.691,0.003453
3.400,255.210,21.870,67.240,264.824,0.679,4.898,14.709,0.007275
3.500,254.965,22.666,67.224,264.651,5.867,5.080,14.715,0.005649
3.600,254.573,23.192,67.212,264.315,-3.738,5.205,14.731,0.005533
3.700,254.374,23.698,67.209,264.168,-1.650,5.322,14.739,0.001639
3.800,253.900,24.360,67.265,263.786,-1.670,5.480,14.773,0.003502
3.900,253.628,24.919,67.270,263.578,0.127,5.611,14.786,0.007083
4.000,253.327,25.435,67.243,263.331,-0.267,5.733,14.795,0.002452
4.100,252.965,26.174,67.237,263.054,-3.056,5.907,14.809,0.029410
4.200,252.606,26.541,67.219,262.741,0.086,5.998,14.823,0.002897
4.300,252.190,27.095,67.249,262.405,-1.374,6.132,14.849,0.010177
4.400,251.803,27.697,67.252,262.096,-1.687,6.277,14.868,0.027008
4.500,251.334,28.171,67.220,261.688,-9.379,6.395,14.884,0.001097
4.600,250.990,28.723,67.264,261.430,-2.181,6.528,14.909,0.015500
4.700,250.496,29.264,67.257,261.014,-6.065,6.663,14.932,0.009992
4.800,250.175,29.780,67.223,260.755,-1.774,6.788,14.940,0.000194
4.900,249.769,30.308,67.245,260.433,-6.759,6.919,14.964,0.005098
5.000,249.328,30.859,67.246,260.075,-2.882,7.056,14.985,0.028582
5.100,248.870,31.297,67.229,259.683,-11.614,7.168,15.004,0.025806
5.200,248.411,31.881,67.223,259.313,0.399,7.313,15.025,0.005488
5.300,247.894,32.339,67.223,258.875,-4.118,7.433,15.051,0.014090
5.400,247.498,32.855,67.233,258.564,-13.651,7.562,15.072,0.004168
5.500,247.127,33.274,67.244,258.265,0.483,7.668,15.092,0.003899
5.600,246.608,33.838,67.258,257.845,-1.003,7.813,15.120,0.006789
5.700,246.000,34.267,67.247,257.317,-0.847,7.930,15.150,0.048247
5.800,245.589,34.725,67.250,256.987,-3.632,8.048,15.170,0.017084
5.900,245.139,35.150,67.241,256.613,-7.258,8.160,15.191,0.007078
6.000,244.627,35.666,67.223,256.190,-1.508,8.295,15.212,0.003432
6.100,244.192,36.189,67.259,255.858,-8.595,8.430,15.241,0.022552
6.200,243.631,36.515,67.241,255.364,-4.645,8.524,15.267,0.003877
6.300,243.100,37.026,67.241,254.932,-3.705,8.660,15.293,0.003152
6.400,242.455,37.325,67.241,254.360,-4.992,8.752,15.329,0.000174
6.500,242.068,37.763,67.264,254.062,0.792,8.867,15.352,0.005894
6.600,241.488,38.223,67.213,253.565,-7.327,8.994,15.371,0.007341
6.700,240.935,38.643,67.248,253.111,-0.303,9.112,15.408,0.022494
6.800,240.483,39.048,67.205,252.732,-1.753,9.223,15.421,0.012383
6.900,239.818,39.460,67.260,252.178,-4.839,9.344,15.469,0.011479
7.000,239.337,39.782,67.253,251.769,-6.943,9.437,15.493,0.021254
7.100,238.692,40.211,67.246,251.223,0.957,9.562,15.526,0.007696
7.200,238.192,40.424,67.242,250.781,-2.601,9.632,15.553,0.004366
7.300,237.643,40.830,67.200,250.314,-1.388,9.749,15.573,0.035244
7.400,237.139,41.147,67.253,249.902,-7.175,9.844,15.612,0.001083
7.500,236.477,41.633,67.243,249.352,-8.403,9.985,15.645,0.006524
7.600,235.906,41.805,67.243,248.839,-0.929,10.049,15.678,0.012827
7.700,235.289,42.245,67.192,248.315,-2.407,10.179,15.700,0.000816
7.800,234.728,42.413,67.208,247.817,-6.914,10.242,15.736,0.018756
7.900,234.129,42.717,67.253,247.314,-0.453,10.340,15.779,0.051229
8.000,233.504,43.069,67.224,246.775,-3.777,10.451,15.808,0.029340
8.100,232.815,43.441,67.197,246.182,-1.337,10.569,15.840,0.007109
8.200,232.180,43.581,67.289,245.632,-8.552,10.631,15.899,0.009769
8.300,231.631,43.922,67.234,245.159,2.652,10.737,15.917,0.003324
8.400,231.018,44.065,67.222,244.601,-4.679,10.799,15.952,0.003733
8.500,230.421,44.354,67.224,244.090,-8.106,10.896,15.986,0.005782
8.600,229.850,44.635,67.279,243.619,-3.534,10.990,16.032,0.008969
8.700,229.185,44.834,67.233,243.014,-11.343,11.069,16.061,0.007043
8.800,228.454,45.045,67.226,242.363,-5.600,11.154,16.104,0.000684
8.900,227.891,45.256,67.236,241.874,-6.992,11.232,16.140,0.005664
9.000,227.236,45.579,67.245,241.320,-2.062,11.342,16.180,0.004930
9.100,226.657,45.782,67.245,240.814,-3.891,11.420,16.215,0.002373
9.200,225.927,45.904,67.271,240.158,-3.722,11.485,16.267,0.007143
9.300,225.263,46.096,67.279,239.572,-8.170,11.565,16.310,0.006350
9.400,224.740,46.191,67.282,239.099,-2.900,11.614,16.344,0.009462
9.500,224.006,46.383,67.245,238.436,-5.823,11.698,16.381,0.029693
9.600,223.438,46.642,67.220,237.947,-8.635,11.791,16.410,0.002531
9.700,222.603,46.779,67.242,237.196,-9.391,11.868,16.468,0.000520
9.800,222.047,46.868,67.248,236.693,-3.380,11.919,16.506,0.028859
9.900,221.404,46.998,67.240,236.114,-3.171,11.985,16.546,0.004876
10.000,220.734,47.102,67.272,235.515,-2.814,12.046,16.597,0.004318
10.100,220.089,47.174,67.239,234.916,-13.565,12.098,16.632,0.003363
10.200,219.411,47.334,67.230,234.311,-0.725,12.174,16.674,0.000291
10.300,218.738,47.421,67.204,233.691,-5.942,12.232,16.713,0.003862
