time_s,x_m,y_m,z_m,range_m,v_radial_mps,azimuth_deg,elevation_deg,rcs_m2
0.000,207.402,20.052,49.971,214.277,-3.055,5.522,13.486,0.000219
0.100,208.100,20.566,50.367,215.094,-4.763,5.644,13.542,0.015882
0.200,209.454,21.109,50.354,216.453,-6.609,5.755,13.452,0.011683
0.300,210.302,21.567,50.787,217.420,-16.021,5.855,13.509,0.005990
0.400,210.783,21.770,51.367,218.041,6.136,5.897,13.626,0.003104
0.500,211.562,22.696,51.541,218.930,0.998,6.123,13.617,0.000320
0.600,212.656,22.268,51.873,220.021,21.005,5.978,13.637,0.027661
0.700,213.281,22.338,52.013,220.665,-13.141,5.979,13.633,0.004865
0.800,214.477,22.916,52.265,221.939,0.873,6.099,13.621,0.015656
0.900,215.379,22.563,52.614,222.857,10.128,5.980,13.656,0.018169
1.000,215.952,22.021,52.953,223.437,-4.602,5.822,13.709,0.020785
1.100,217.116,21.844,53.319,224.632,4.119,5.745,13.731,0.007565
1.200,218.026,21.553,53.619,225.555,6.023,5.646,13.752,0.006967
1.300,218.828,21.075,53.794,226.326,33.608,5.501,13.750,0.007809
1.400,219.455,20.206,53.915,226.882,41.445,5.260,13.747,0.005967
1.500,220.443,19.418,54.401,227.886,3.585,5.034,13.811,0.013619
1.600,221.048,18.832,54.761,228.508,1.786,4.869,13.866,0.015326
1.700,221.939,17.569,54.852,229.291,3.868,4.526,13.841,0.000047
1.800,222.232,16.266,55.298,229.585,-3.505,4.186,13.937,0.017486
1.900,223.304,15.325,55.500,230.607,3.293,3.926,13.926,0.001479
2.000,224.340,14.513,55.870,231.647,30.773,3.702,13.956,0.004199
2.100,224.869,12.881,56.200,232.143,9.936,3.278,14.010,0.008623
2.200,225.372,11.540,56.531,232.640,19.564,2.931,14.064,0.004213
2.300,226.801,10.175,56.664,233.994,13.085,2.569,14.014,0.005961
2.400,226.933,8.498,56.963,234.127,-11.827,2.145,14.081,0.004231
