current_A,voltage_V
0.0010,386.9
0.0014,392.0
0.0019,397.2
0.0027,402.5
0.0037,407.8
0.0052,413.2
0.0072,418.7
0.0100,424.2
0.0139,429.8
0.0193,435.5
0.0268,441.3
0.0373,447.1
0.0518,453.0
0.0720,459.0
0.1000,465.1
0.1389,471.3
0.1931,477.5
0.2683,483.9
0.3728,490.3
0.5179,496.8
0.7197,503.3
1.0000,510.0
1.3895,516.8
1.9307,523.6
2.6827,530.5
3.7276,537.6
5.1795,544.7
7.1969,551.9
10.0000,559.2
13.8950,566.6
19.3070,574.1
26.8270,581.7
37.2759,589.4
51.7947,597.2
71.9686,605.1
100.0000,613.2
138.9495,621.3
193.0698,629.5
268.2696,637.8
372.7594,646.3
517.9475,650.0
719.6857,650.0
1000.0000,650.0
1389.4955,650.0
1930.6977,650.0
2682.6958,650.0
3727.5937,650.0
5179.4747,650.0
7196.8567,650.0
10000.0000,650.0
