current_A,voltage_V
0.0010,436.2
0.0014,442.0
0.0019,447.8
0.0027,453.7
0.0037,459.8
0.0052,465.8
0.0072,472.0
0.0100,478.3
0.0139,484.6
0.0193,491.0
0.0268,497.5
0.0373,504.1
0.0518,510.8
0.0720,517.6
0.1000,524.4
0.1389,531.4
0.1931,538.4
0.2683,545.5
0.3728,552.7
0.5179,560.1
0.7197,567.5
1.0000,575.0
1.3895,582.6
1.9307,590.3
2.6827,598.2
3.7276,606.1
5.1795,614.1
7.1969,622.2
10.0000,630.5
13.8950,638.8
19.3070,647.3
26.8270,655.9
37.2759,664.5
51.7947,673.3
71.9686,682.3
100.0000,691.3
138.9495,700.5
193.0698,709.7
268.2696,719.1
372.7594,728.7
517.9475,738.3
719.6857,745.0
1000.0000,745.0
1389.4955,745.0
1930.6977,745.0
2682.6958,745.0
3727.5937,745.0
5179.4747,745.0
7196.8567,745.0
10000.0000,745.0
