timestamp,temperature_f,precipitation_in,condition,wind_speed_mph,humidity
2024-07-01T00:00:00,63.6,0.0,clear,3.4,67.0
2024-07-01T01:00:00,71.8,0.0,clear,1.1,66.5
2024-07-01T02:00:00,67.6,0.04,clear,3.2,35.2
2024-07-01T03:00:00,72.8,0.0,clear,2.3,42.1
2024-07-01T04:00:00,77.2,0.0,clear,12.8,82.7
2024-07-01T05:00:00,70.7,0.0,clear,15.7,40.3
2024-07-01T06:00:00,79.2,0.0,clear,4.9,85.6
2024-07-01T07:00:00,86.6,0.0,clear,52.9,71.5
2024-07-01T08:00:00,88.5,0.0,clear,7.4,36.8
2024-07-01T09:00:00,79.7,0.0,clear,6.2,38.6
2024-07-01T10:00:00,88.6,0.0,clear,1.2,88.6
2024-07-01T11:00:00,83.8,0.0,clear,5.5,66.2
2024-07-01T12:00:00,88.0,0.0,clear,1.3,74.3
2024-07-01T13:00:00,90.2,0.0,clear,26.6,36.0
2024-07-01T14:00:00,87.6,0.0,clear,0.0,62.7
2024-07-01T15:00:00,84.1,0.0,clear,2.2,38.2
2024-07-01T16:00:00,80.7,0.0,clear,15.8,39.5
2024-07-01T17:00:00,94.2,0.0,clear,15.3,39.4
2024-07-01T18:00:00,81.2,0.0,clear,3.5,39.4
2024-07-01T19:00:00,77.2,0.0,clear,4.8,76.7
2024-07-01T20:00:00,70.8,0.0,clear,30.8,38.4
2024-07-01T21:00:00,77.0,0.0,clear,4.7,83.9
2024-07-01T22:00:00,74.3,0.0,clear,13.8,80.4
2024-07-01T23:00:00,69.6,0.06,clear,2.8,79.1
2024-07-02T00:00:00,64.6,0.0,clear,2.1,70.3
2024-07-02T01:00:00,74.4,0.0,clear,4.6,50.1
2024-07-02T02:00:00,67.4,0.11,light_rain,2.2,45.1
2024-07-02T03:00:00,66.3,0.0,clear,1.3,63.9
2024-07-02T04:00:00,79.3,0.0,clear,4.5,81.0
2024-07-02T05:00:00,85.7,0.0,clear,1.6,81.1
2024-07-02T06:00:00,81.0,0.0,clear,15.8,38.0
2024-07-02T07:00:00,79.8,0.0,clear,0.8,58.2
2024-07-02T08:00:00,79.2,0.0,clear,8.3,33.7
2024-07-02T09:00:00,85.3,0.0,clear,4.9,89.0
2024-07-02T10:00:00,88.1,0.16,light_rain,2.4,59.1
2024-07-02T11:00:00,83.1,0.15,light_rain,0.9,81.5
2024-07-02T12:00:00,88.6,0.07,clear,7.4,81.2
