timestamp,city,competitor_1_multiplier,competitor_2_multiplier,competitor_1_available,competitor_2_available
2024-07-01T00:00:00,New York,1.13,1.06,True,True
2024-07-01T03:00:00,New York,0.93,1.01,True,True
2024-07-01T06:00:00,New York,1.14,1.15,True,True
2024-07-01T07:00:00,New York,0.91,1.07,True,True
2024-07-01T09:00:00,New York,0.95,1.12,True,True
2024-07-01T15:00:00,New York,1.05,0.95,True,False
2024-07-01T16:00:00,New York,1.25,1.72,False,True
2024-07-01T18:00:00,New York,1.04,1.2,True,True
2024-07-01T19:00:00,New York,1.53,1.08,True,True
2024-07-01T21:00:00,New York,1.51,1.02,True,True
2024-07-02T07:00:00,New York,1.51,0.9,False,True
2024-07-02T19:00:00,New York,1.03,1.1,True,True
2024-07-02T20:00:00,New York,1.07,1.08,True,True
2024-07-02T23:00:00,New York,0.93,1.3,True,True
2024-07-03T06:00:00,New York,1.34,1.02,True,False
2024-07-03T07:00:00,New York,0.97,1.45,True,True
2024-07-03T08:00:00,New York,1.49,1.0,True,True
2024-07-03T11:00:00,New York,0.95,0.94,True,True
2024-07-03T17:00:00,New York,1.2,0.96,True,True
2024-07-03T22:00:00,New York,0.97,1.13,True,True
2024-07-04T06:00:00,New York,1.09,1.01,True,True
2024-07-04T08:00:00,New York,1.01,1.03,True,False
2024-07-04T09:00:00,New York,1.06,0.9,False,True
2024-07-04T10:00:00,New York,1.07,0.95,True,True
2024-07-04T12:00:00,New York,0.99,0.97,True,True
2024-07-04T22:00:00,New York,0.93,1.06,True,True
2024-07-05T05:00:00,New York,0.98,0.89,True,False
2024-07-05T08:00:00,New York,0.92,1.04,True,True
2024-07-05T09:00:00,New York,1.08,1.0,True,False
2024-07-05T13:00:00,New York,1.1,0.89,True,True
2024-07-05T17:00:00,New York,1.03,0.99,True,True
2024-07-05T19:00:00,New York,1.51,1.08,True,True
2024-07-05T22:00:00,New York,1.08,1.0,True,True
2024-07-05T23:00:00,New York,0.95,1.08,True,True
2024-07-06T00:00:00,New York,0.94,0.95,True,False
2024-07-06T01:00:00,New York,1.07,0.96,False,True
2024-07-06T03:00:00,New York,0.9,1.11,True,True
2024-07-06T13:00:00,New York,0.98,1.1,True,True
2024-07-06T17:00:00,New York,1.1,1.07,True,True
2024-07-06T18:00:00,New York,1.11,0.9,True,False
2024-07-06T19:00:00,New York,1.01,0.88,True,True
2024-07-07T00:00:00,New York,1.06,1.36,True,True
2024-07-07T01:00:00,New York,1.01,1.04,False,True
2024-07-07T02:00:00,New York,1.01,0.99,True,True
2024-07-07T04:00:00,New York,0.91,1.19,True,True
2024-07-07T06:00:00,New York,1.06,0.94,True,True
2024-07-07T07:00:00,New York,1.56,1.17,True,True
2024-07-07T08:00:00,New York,1.09,1.39,True,True
2024-07-07T11:00:00,New York,1.05,0.89,True,True
2024-07-07T12:00:00,New York,0.93,0.95,True,True
2024-07-07T15:00:00,New York,1.07,0.92,True,True
2024-07-07T19:00:00,New York,1.56,1.47,True,True
2024-07-07T20:00:00,New York,1.09,1.1,True,True
2024-07-07T23:00:00,New York,1.18,1.39,True,False
2024-07-08T13:00:00,New York,1.03,0.99,True,False
2024-07-08T14:00:00,New York,0.98,0.98,False,True
2024-07-08T16:00:00,New York,1.04,1.89,True,True
2024-07-08T19:00:00,New York,1.03,1.07,True,True
2024-07-08T21:00:00,New York,0.98,0.93,True,True
