timestamp,city,competitor_1_multiplier,competitor_2_multiplier,competitor_1_available,competitor_2_available
2024-07-01T03:00:00,Phoenix,1.21,0.98,True,True
2024-07-01T06:00:00,Phoenix,0.92,0.88,True,True
2024-07-01T09:00:00,Phoenix,1.34,1.03,True,True
2024-07-01T10:00:00,Phoenix,0.91,1.31,True,True
2024-07-01T12:00:00,Phoenix,1.35,1.07,True,True
2024-07-01T19:00:00,Phoenix,1.25,1.28,True,True
2024-07-02T01:00:00,Phoenix,1.05,1.35,True,True
2024-07-02T12:00:00,Phoenix,0.99,1.07,False,True
2024-07-02T18:00:00,Phoenix,0.98,1.05,True,True
2024-07-02T20:00:00,Phoenix,0.92,0.94,True,True
2024-07-03T01:00:00,Phoenix,1.06,1.06,True,False
2024-07-03T02:00:00,Phoenix,1.53,1.3,True,True
2024-07-03T06:00:00,Phoenix,0.92,0.95,True,True
2024-07-03T07:00:00,Phoenix,1.12,0.93,True,False
2024-07-03T11:00:00,Phoenix,0.99,0.91,True,True
2024-07-03T12:00:00,Phoenix,0.97,1.12,True,True
2024-07-03T16:00:00,Phoenix,1.27,1.28,True,False
2024-07-03T21:00:00,Phoenix,0.98,1.02,True,False
2024-07-03T22:00:00,Phoenix,0.93,1.11,False,True
2024-07-03T23:00:00,Phoenix,1.0,1.34,True,True
2024-07-04T01:00:00,Phoenix,0.96,1.06,True,True
2024-07-04T04:00:00,Phoenix,1.03,1.06,True,True
2024-07-04T05:00:00,Phoenix,1.05,0.89,False,False
2024-07-04T06:00:00,Phoenix,1.0,0.87,True,True
2024-07-04T07:00:00,Phoenix,1.05,1.31,True,True
2024-07-04T09:00:00,Phoenix,1.37,1.14,True,True
2024-07-04T10:00:00,Phoenix,1.0,1.05,True,True
2024-07-04T11:00:00,Phoenix,0.95,0.91,True,True
2024-07-04T12:00:00,Phoenix,0.9,1.12,True,True
2024-07-04T16:00:00,Phoenix,1.25,1.05,True,True
2024-07-04T20:00:00,Phoenix,0.93,0.96,True,True
2024-07-04T23:00:00,Phoenix,1.22,1.09,True,False
2024-07-05T04:00:00,Phoenix,1.08,0.97,True,True
2024-07-05T09:00:00,Phoenix,0.98,1.42,True,True
2024-07-05T14:00:00,Phoenix,0.96,1.11,False,True
2024-07-05T17:00:00,Phoenix,1.31,0.88,True,True
2024-07-05T23:00:00,Phoenix,1.41,1.12,True,True
2024-07-06T01:00:00,Phoenix,1.28,1.1,True,False
2024-07-06T06:00:00,Phoenix,0.91,0.94,True,True
2024-07-06T07:00:00,Phoenix,1.01,1.41,True,True
2024-07-06T11:00:00,Phoenix,1.06,1.07,True,True
2024-07-06T13:00:00,Phoenix,1.03,0.89,True,True
2024-07-06T19:00:00,Phoenix,1.02,1.13,True,True
2024-07-06T23:00:00,Phoenix,1.03,0.91,False,True
2024-07-07T04:00:00,Phoenix,1.07,1.09,True,True
2024-07-07T12:00:00,Phoenix,1.0,0.95,True,True
2024-07-07T14:00:00,Phoenix,1.05,0.87,True,True
2024-07-07T20:00:00,Phoenix,0.95,0.9,False,True
2024-07-08T01:00:00,Phoenix,1.07,1.15,True,True
2024-07-08T04:00:00,Phoenix,1.1,1.03,True,True
2024-07-08T06:00:00,Phoenix,1.1,1.49,True,True
2024-07-08T07:00:00,Phoenix,0.95,0.97,True,True
2024-07-08T11:00:00,Phoenix,1.12,1.05,True,False
2024-07-08T12:00:00,Phoenix,0.93,1.0,True,True
2024-07-08T13:00:00,Phoenix,1.1,1.07,True,True
2024-07-08T17:00:00,Phoenix,1.29,1.11,True,True
2024-07-08T18:00:00,Phoenix,1.17,1.38,True,True
2024-07-09T01:00:00,Phoenix,1.07,1.09,True,True
2024-07-09T02:00:00,Phoenix,0.99,0.9,True,True
2024-07-09T03:00:00,Phoenix,1.06,1.08,True,True
2024-07-09T06:00:00,Phoenix,0.94,0.99,True,True
