timestamp,city,competitor_1_multiplier,competitor_2_multiplier,competitor_1_available,competitor_2_available
2024-07-01T05:00:00,Houston,1.03,0.9,True,True
2024-07-01T06:00:00,Houston,1.0,0.96,True,True
2024-07-01T16:00:00,Houston,1.35,1.09,True,True
2024-07-01T21:00:00,Houston,0.99,0.95,True,True
2024-07-01T22:00:00,Houston,0.96,1.03,True,False
2024-07-02T02:00:00,Houston,1.15,1.01,True,False
2024-07-02T07:00:00,Houston,1.37,0.89,False,True
2024-07-02T10:00:00,Houston,1.08,0.89,True,True
2024-07-02T12:00:00,Houston,1.08,1.14,True,True
2024-07-02T16:00:00,Houston,1.24,1.03,True,False
2024-07-02T18:00:00,Houston,0.97,1.33,True,True
2024-07-03T00:00:00,Houston,1.0,1.28,True,True
2024-07-03T04:00:00,Houston,0.92,1.03,True,True
2024-07-03T05:00:00,Houston,1.0,1.08,True,True
2024-07-03T08:00:00,Houston,1.14,1.5,True,True
2024-07-03T10:00:00,Houston,0.91,1.06,True,True
2024-07-03T15:00:00,Houston,1.0,0.93,True,True
2024-07-04T01:00:00,Houston,1.0,1.12,True,True
2024-07-04T03:00:00,Houston,1.06,0.93,True,True
2024-07-04T08:00:00,Houston,1.08,1.01,True,True
2024-07-04T09:00:00,Houston,1.05,0.89,True,True
2024-07-04T10:00:00,Houston,1.04,1.03,True,True
2024-07-04T11:00:00,Houston,1.07,0.86,True,True
2024-07-04T12:00:00,Houston,1.09,0.9,True,False
2024-07-04T15:00:00,Houston,0.98,0.85,True,True
2024-07-04T16:00:00,Houston,1.09,1.01,True,True
2024-07-04T20:00:00,Houston,1.01,1.14,True,False
2024-07-04T23:00:00,Houston,0.91,1.09,True,True
2024-07-05T02:00:00,Houston,1.03,0.85,True,True
2024-07-05T03:00:00,Houston,1.08,0.98,False,True
2024-07-05T07:00:00,Houston,1.05,1.18,True,False
2024-07-05T08:00:00,Houston,1.08,1.05,True,True
2024-07-05T10:00:00,Houston,0.94,1.08,True,False
2024-07-05T12:00:00,Houston,1.09,0.92,True,True
2024-07-05T19:00:00,Houston,1.04,0.87,True,True
2024-07-05T20:00:00,Houston,1.05,0.94,True,True
2024-07-06T01:00:00,Houston,1.07,0.95,True,True
2024-07-06T02:00:00,Houston,1.09,1.56,True,True
2024-07-06T03:00:00,Houston,1.06,1.09,True,True
2024-07-06T06:00:00,Houston,0.98,1.03,True,True
2024-07-06T07:00:00,Houston,1.16,0.86,True,True
2024-07-06T09:00:00,Houston,1.61,1.14,True,True
2024-07-06T10:00:00,Houston,1.02,0.92,True,True
2024-07-06T12:00:00,Houston,1.09,0.89,True,True
2024-07-06T15:00:00,Houston,1.04,0.92,True,True
2024-07-07T02:00:00,Houston,1.02,0.91,True,True
2024-07-07T05:00:00,Houston,0.97,1.18,True,True
2024-07-07T06:00:00,Houston,1.35,1.01,True,True
2024-07-07T16:00:00,Houston,1.16,0.86,True,True
2024-07-07T20:00:00,Houston,0.96,0.94,True,True
2024-07-07T21:00:00,Houston,1.04,1.03,True,True
2024-07-08T03:00:00,Houston,1.05,0.9,True,True
2024-07-08T07:00:00,Houston,0.96,1.03,False,True
2024-07-08T08:00:00,Houston,1.22,1.64,True,True
2024-07-08T13:00:00,Houston,0.91,1.14,True,True
2024-07-08T15:00:00,Houston,0.9,1.12,True,True
2024-07-08T18:00:00,Houston,1.11,0.93,True,True
2024-07-08T20:00:00,Houston,0.97,0.86,True,True
2024-07-08T21:00:00,Houston,1.1,0.98,True,True
2024-07-08T23:00:00,Houston,1.04,1.27,True,True
2024-07-09T03:00:00,Houston,0.93,0.93,True,True
2024-07-09T08:00:00,Houston,1.07,1.0,True,True
2024-07-09T12:00:00,Houston,0.96,1.03,True,True
2024-07-09T13:00:00,Houston,0.94,1.11,True,True
2024-07-09T14:00:00,Houston,0.92,1.07,True,True
2024-07-09T15:00:00,Houston,0.9,0.87,True,True
