H_kA_m,B_T
0.0,1.4400
-13.0,1.4225
-25.9,1.4051
-38.9,1.3876
-51.9,1.3702
-64.8,1.3527
-77.8,1.3353
-90.8,1.3178
-103.8,1.3004
-116.7,1.2829
-129.7,1.2655
-142.7,1.2480
-155.6,1.2305
-168.6,1.2131
-181.6,1.1956
-194.5,1.1782
-207.5,1.1607
-220.5,1.1433
-233.5,1.1258
-246.4,1.1084
-259.4,1.0909
-272.4,1.0735
-285.3,1.0560
-298.3,1.0385
-311.3,1.0211
-324.2,1.0036
-337.2,0.9862
-350.2,0.9687
-363.2,0.9513
-376.1,0.9338
-389.1,0.9164
-402.1,0.8989
-415.0,0.8815
-428.0,0.8640
-441.0,0.8465
-453.9,0.8291
-466.9,0.8116
-479.9,0.7942
-492.8,0.7767
-505.8,0.7593
-518.8,0.7418
-531.8,0.7244
-544.7,0.7069
-557.7,0.6895
-570.7,0.6720
-583.6,0.6545
-596.6,0.6371
-609.6,0.6196
-622.5,0.6022
-635.5,0.5847
-648.5,0.5673
-661.5,0.5498
-674.4,0.5324
-687.4,0.5149
-700.4,0.4975
-713.3,0.4800
-726.3,0.4625
-739.3,0.4451
-752.2,0.4276
-765.2,0.4102
-778.2,0.3927
-791.2,0.3753
-804.1,0.3578
-817.1,0.3404
-830.1,0.3229
-843.0,0.3055
-856.0,0.2880
-869.0,0.2705
-881.9,0.2531
-894.9,0.2356
-907.9,0.2182
-920.8,0.2007
-933.8,0.1833
-946.8,0.1658
-959.8,0.1484
-972.7,0.1309
-985.7,0.1135
-998.7,0.0960
-1011.6,0.0785
-1024.6,0.0611
-1037.6,0.0436
-1050.5,0.0262
-1063.5,0.0087
-1076.5,0.0000
-1089.5,0.0000
-1102.4,0.0000
-1115.4,0.0000
-1128.4,0.0000
-1141.3,0.0000
-1154.3,0.0000
-1167.3,0.0000
-1180.2,0.0000
-1193.2,0.0000
-1206.2,0.0000
-1219.2,0.0000
-1232.1,0.0000
-1245.1,0.0000
-1258.1,0.0000
-1271.0,0.0000
-1284.0,0.0000
